method,dataset,seed,k_used,modularity,onmi,f1,mean_umax,frac_multi,rule_fidelity,m_used,error,secs
default,crisismmd,1,7,0.5267513351527662,0.6290563695197424,0.506950028298826,0.24723128503452949,0.0,0.315,1.5,,2.95
default,crisismmd,2,7,0.5122659845460196,0.6076187149920035,0.7379396383562477,0.3708101423010335,0.0575,0.2725,1.5,,2.94
default,crisismmd,0,7,0.5197824512523282,0.590905302529789,0.7572625076058666,0.36204073272671666,0.0425,0.3,1.5,,3.05
fcm+rawpca+m1.2,crisismmd,0,7,0.3788104092485412,0.5884826028181293,0.6107014450044945,0.8679560982074367,0.16375,0.25625,1.2,,3.03
fcm+rawpca+m1.2,crisismmd,2,7,0.3813534886423791,0.5878780492071797,0.6083015981427017,0.8690937511541279,0.16125,0.25125,1.2,,0.97
fcm+rawpca+m1.2,crisismmd,1,7,0.37868985610225886,0.5899461386672519,0.6089294007774174,0.8688262270088174,0.1575,0.255,1.2,,1.0
kmsoft|cca,crisismmd,0,7,0.36530404306761677,0.6090160267174849,0.6279758409698027,0.7032215321002445,0.37625,0.2425,,,1.11
kmsoft|cca,crisismmd,1,7,0.3649959139951304,0.5981205881191441,0.6259643196430974,0.7107560446352573,0.3675,0.24125,,,1.19
kmsoft|cca,crisismmd,2,7,0.4382521471450409,0.6216344355864498,0.7168911971649844,0.7252616449343341,0.2675,0.255,,,0.97
kmsoft|raw,crisismmd,0,7,0.3957340586297038,0.6285928774236507,0.6227822037429603,0.8031185228162626,0.25625,0.2625,,,1.05
kmsoft|raw,crisismmd,1,7,0.45849505577303556,0.7368715498996435,0.7495096938698662,0.8338771356523457,0.155,0.26875,,,0.94
kmsoft|raw,crisismmd,2,7,0.38577513037332234,0.6316787839843565,0.6184267890090788,0.7972231707049309,0.2725,0.24375,,,0.88
gmm|cca,crisismmd,0,7,0.3665598416153812,0.560128976600344,0.5729455682750514,0.9363440102254955,0.11875,0.245,,,0.95
gmm|cca,crisismmd,1,7,0.36096779053381467,0.5590166033397319,0.5703106068285495,0.9408227658604855,0.105,0.23875,,,0.94
gmm|cca,crisismmd,2,7,0.3720296451545438,0.5676261832524987,0.5879965027112382,0.9411127807816374,0.105,0.25125,,,0.86
gmm|raw,crisismmd,0,7,0.4003276711077556,0.5936208677233834,0.5846069332428036,0.9825055775692217,0.0325,0.26,,,0.91
gmm|raw,crisismmd,2,7,0.38900793358101077,0.6043299547356652,0.6021259981083327,0.9829270662573166,0.03125,0.2475,,,0.83
gmm|raw,crisismmd,1,7,0.39235884247391706,0.6045494673544055,0.6024262714749431,0.983320101997642,0.03,0.24,,,0.98
fcmad|cca,crisismmd,0,7,0.5137619480551701,0.6022955346962655,0.7535028039305249,0.3622088411978339,0.04375,0.3,1.5,,0.91
fcmad|cca,crisismmd,1,7,0.5042200504294123,0.6105398164112867,0.7466583216482486,0.3749417235843681,0.0775,0.27,1.5,,0.88
fcmad|raw,crisismmd,0,7,0.5197540648876734,0.6735278102971248,0.7641912883665336,0.42781473840357676,0.13125,0.29875,1.5,,0.81
fcmad|raw,crisismmd,1,7,0.518028772184927,0.6742702079428772,0.7628441945680992,0.4259246026437475,0.1325,0.27375,1.5,,0.86
fcmad|cca,crisismmd,2,7,0.5098290245537243,0.590461655355248,0.751517911767924,0.37086805743336215,0.0575,0.2725,1.5,,1.0
fcmad|raw,crisismmd,2,7,0.45844401470468077,0.7145339312602103,0.7046205811091772,0.4135322698277612,0.43625,0.2575,1.5,,0.98
specsoft|cca,crisismmd,0,7,0.4508757329466038,0.6857915574088661,0.7398995353690224,0.9999996216481971,0.0,0.27875,,,0.86
