method,dataset,seed,k_used,modularity,onmi,onmi_hard,ari,f1,extra,error,secs
var:default,crisismmd@r0.02,1,7,0.4642692976638909,0.7495061627542517,0.5611165463527904,0.7449996530826973,0.7009353634415244,,,3.05
rem:raw_pca,crisismmd@r0.02,0,7,0.4504685610336716,0.7762673787277078,0.586975512295497,0.7312005491465542,0.680171039592934,,,3.06
var:default,crisismmd@r0.02,2,7,0.6428687838400666,0.6942578521435157,0.6935006356652521,0.9524996589475644,0.7603208662372991,,,3.06
var:default,crisismmd@r0.02,0,7,0.641266552737683,0.709720553143145,0.7064735233945261,0.9623676393059739,0.7691106355705715,,,3.08
rem:std_blocks,crisismmd@r0.02,0,7,0.6394801030089727,0.7029395605196125,0.7284190321228368,0.9590153504347455,0.768174027163529,,,0.88
rem:raw_pca,crisismmd@r0.02,2,7,0.4641457725947522,0.7528669511415007,0.5847350587359738,0.7319947421090632,0.6652175887185575,,,0.95
rem:raw_pca,crisismmd@r0.02,1,7,0.43948690724220696,0.7235462678892289,0.544093161977582,0.7254325263071273,0.6886095134523728,,,1.2
rem:std_blocks,crisismmd@r0.02,1,7,0.6292365952351399,0.6533399915654777,0.6233918012404813,0.9422087093728053,0.752462791358606,,,1.23
rem:std_blocks,crisismmd@r0.02,2,7,0.6392371928363181,0.6640403392741553,0.627929282043813,0.9472033820466954,0.7556047218161404,,,0.81
rem:raw_pca+std,crisismmd@r0.02,0,7,0.4504685610336716,0.7762673787277078,0.586975512295497,0.7312005491465542,0.680171039592934,,,1.05
rem:raw_pca+std,crisismmd@r0.02,1,7,0.43948690724220696,0.7235462678892289,0.544093161977582,0.7254325263071273,0.6886095134523728,,,1.12
rem:raw_pca+std,crisismmd@r0.02,2,7,0.4641457725947522,0.7519942383324028,0.5847350587359738,0.7319947421090632,0.6647835236540128,,,1.12
ceil:content_cca,crisismmd@r0.02,0,7,0.05154416617868708,0.08781638440679673,0.08781638440679673,0.11804062639621575,0.29661950387569586,,,0.88
ceil:content_cca,crisismmd@r0.02,1,7,0.07257836194929781,0.09782075577654326,0.09782075577654326,0.14929791951455135,0.3557372417722349,,,0.98
ceil:content_cca,crisismmd@r0.02,2,7,0.07425922532278217,0.11610208605532057,0.11714693602609305,0.11411552817482695,0.2812564416482237,,,1.08
ceil:content_cca_weighted,crisismmd@r0.02,0,7,0.06339467119565402,0.12235280865371578,0.12235280865371578,0.10702779922861487,0.2549566249231949,,,1.09
ceil:raw_text,crisismmd@r0.02,0,7,0.22651147489906706,0.14553727255306037,0.14553727255306037,0.2842479130148331,0.3788584618614855,,,0.17
ceil:content_cca_weighted,crisismmd@r0.02,1,7,0.032387413294509455,0.0410472061266095,0.0410472061266095,0.04081587102707253,0.11088068895037609,,,1.01
ceil:raw_text,crisismmd@r0.02,1,7,0.144845644074734,0.1473022910099231,0.1473022910099231,0.19623250985091392,0.2831476565829228,,,0.19
ceil:raw_text,crisismmd@r0.02,2,7,0.22352780091628488,0.24646697502270887,0.24646697502270887,0.3021688886666204,0.38214764517052513,,,0.22
ceil:raw_image,crisismmd@r0.02,0,7,-0.020895860960357268,0.0023663540498439772,0.0023663540498439772,0.005571432587442662,0.11417821847878684,,,0.31
ceil:content_cca_weighted,crisismmd@r0.02,2,7,0.04199433569346103,0.03464250854418238,0.03464250854418238,0.035197248200455604,0.12215363622240974,,,0.97
ceil:raw_concat_pca16,crisismmd@r0.02,0,7,-0.009555785123966945,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.09
ceil:raw_image,crisismmd@r0.02,1,7,-0.002833840968131006,0.0023663540498439772,0.0023663540498439772,0.0036229997770640867,0.10563607783472727,,,0.36
ceil:raw_concat_pca16,crisismmd@r0.02,1,7,-0.005483160519909027,0.0037219124066608655,0.0037219124066608655,0.005370220138383213,0.1108863463170335,,,0.09
ceil:raw_concat_pca16,crisismmd@r0.02,2,7,-0.0015336734693877242,0.004233386407907158,0.004233386407907158,0.005367645184435462,0.11079683682902776,,,0.09
ceil:raw_image,crisismmd@r0.02,2,7,-0.0024889837567680126,0.002240002611341496,0.002240002611341496,0.0051530547443803245,0.11381874004680277,,,0.34
ceil:structure,crisismmd@r0.02,0,7,0.6550550997725445,0.8789634258425842,0.8964260316656851,0.9800398375687471,0.9430454413674496,,,0.11
ceil:structure,crisismmd@r0.02,1,7,0.6489894943746416,0.8566181332468776,0.8621241039276655,0.9671892136966651,0.9378626152743232,,,0.08
ceil:structure,crisismmd@r0.02,2,7,0.6576730737192836,0.8821755198496787,0.8896371105636665,0.9846269482260099,0.9489411490713003,,,0.09
base:louvain,crisismmd@r0.02,1,10,0.6530091146779894,0.7392908255840223,0.7392908255840223,0.9731541534898298,0.9362646716614547,,,0.16
base:louvain,crisismmd@r0.02,2,9,0.6577891503540191,0.5780598683323365,0.5780598683323365,0.9534116889364406,0.6754005480204197,,,0.14
base:louvain,crisismmd@r0.02,0,9,0.6585055222186672,0.7079813170251392,0.7079813170251392,0.9890208006899557,0.8467585033976404,,,0.19
base:spectral_graph+content,crisismmd@r0.02,0,7,0.6442911878262001,0.9062700324361181,0.9062700324361181,0.9589961910565594,0.9654458066904017,,,0.25
base:spectral_graph+content,crisismmd@r0.02,1,7,0.6411693304512138,0.8915976135737177,0.8915976135737177,0.9571168110335369,0.9564968810171138,,,0.23
base:spectral_graph+content,crisismmd@r0.02,2,7,0.6410568513119533,0.9048169919812163,0.9048169919812163,0.9533793785957484,0.9680350213632062,,,0.25
base:nfmcd_structure_only,crisismmd@r0.02,0,7,0.6550550997725445,0.8789634258425842,0.8964260316656851,0.9800398375687471,0.9430454413674496,,,0.11
base:nfmcd_structure_only,crisismmd@r0.02,1,7,0.6489894943746416,0.8566181332468776,0.8621241039276655,0.9671892136966651,0.9378626152743232,,,0.06
base:kmeans_content,crisismmd@r0.02,1,7,0.24162002838930502,0.4064742121714391,0.4064742121714391,0.3967397442410731,0.5603964460777323,,,0.28
base:kmeans_content,crisismmd@r0.02,0,7,0.2343942320140109,0.3943730374016603,0.3943730374016603,0.40217737603168063,0.5610033449335877,,,0.41
base:nfmcd_structure_only,crisismmd@r0.02,2,7,0.6576730737192836,0.8821755198496787,0.8896371105636665,0.9846269482260099,0.9489411490713003,,,0.08
base:kmeans_content,crisismmd@r0.02,2,7,0.277492794668888,0.4209784745470222,0.4209784745470222,0.4550070981906108,0.6037258915449902,,,0.38
diag,crisismmd@r0.02,1,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.24375, ""min_cluster_frac"": 0.10125, ""n_empty"": 0, ""sizes_top3"": [195, 133, 128], ""umax_mean"": 0.4974099677273436, ""umax_q10"": 0.3092824938073831, ""umax_q90"": 0.8088357127661147, ""frac_umax_lt_0p3"": 0.0825, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.52625, ""frac_in_half_or_more"": 0.0, ""pred_comm_frac_top"": 0.27375, ""pred_comm_frac_med"": 0.24875, ""fcm_obj"": 275.3566014777816, ""fcm_iters"": 200, ""center_min_dist"": 0.08575735172328217, ""center_mean_dist"": 0.8340456356493239, ""within_rms"": 0.7296387081711716, ""center_sep_ratio"": 0.1175339942395794, ""alpha_mean"": 0.6029959740553547, ""conf_mean"": 0.6471371057933639, ""frac_both"": 1.0, ""var_content_w"": 0.5615293133119029, ""var_struct_w"": 0.39513582813410464, ""var_share_content"": 0.5869653748045629, ""pdist_content_w"": 1.0418932193954378, ""pdist_struct_w"": 0.8157920522052724, ""cca_dim"": 8, ""eta2_content_w"": 0.17785445908809483, ""eta2_struct_w"": 0.9190409260022353, ""eta2_fused"": 0.48399013364945254, ""eta2_content_raw"": 0.1729903478295084, ""eta2_struct_raw"": 0.9264678255224833}",,0.95
diag,crisismmd@r0.02,0,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.26125, ""min_cluster_frac"": 0.01625, ""n_empty"": 0, ""sizes_top3"": [209, 194, 191], ""umax_mean"": 0.4594075179372751, ""umax_q10"": 0.22887365141506905, ""umax_q90"": 0.7494746560652751, ""frac_umax_lt_0p3"": 0.265, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.32, ""frac_in_half_or_more"": 0.01125, ""pred_comm_frac_top"": 0.2625, ""pred_comm_frac_med"": 0.1575, ""fcm_obj"": 276.88628352344494, ""fcm_iters"": 100, ""center_min_dist"": 4.905968420368924e-05, ""center_mean_dist"": 0.6804286144205461, ""within_rms"": 0.7544197976463374, ""center_sep_ratio"": 6.502968818777312e-05, ""alpha_mean"": 0.6001689669803463, ""conf_mean"": 0.6430985242576375, ""frac_both"": 1.0, ""var_content_w"": 0.558229520192572, ""var_struct_w"": 0.3973644422465978, ""var_share_content"": 0.5841702042226151, ""pdist_content_w"": 1.0253574369097744, ""pdist_struct_w"": 0.8272285040280298, ""cca_dim"": 8, ""eta2_content_w"": 0.17076672143850274, ""eta2_struct_w"": 0.9239230398817058, ""eta2_fused"": 0.4839515595247263, ""eta2_content_raw"": 0.16520757538268685, ""eta2_struct_raw"": 0.9311412555190026}",,0.99
diag,crisismmd@r0.02,2,7,nan,nan,nan,nan,nan,"{""n_nodes"": 800, ""k"": 7, ""max_cluster_frac"": 0.26125, ""min_cluster_frac"": 0.00125, ""n_empty"": 0, ""sizes_top3"": [209, 193, 191], ""umax_mean"": 0.46303345174509564, ""umax_q10"": 0.23198123820229674, ""umax_q90"": 0.7560625594957748, ""frac_umax_lt_0p3"": 0.26, ""one_over_k"": 0.14285714285714285, ""comms_per_node"": 1.325, ""frac_in_half_or_more"": 0.01375, ""pred_comm_frac_top"": 0.2625, ""pred_comm_frac_med"": 0.16, ""fcm_obj"": 276.1751648543068, ""fcm_iters"": 114, ""center_min_dist"": 0.0005638536255242972, ""center_mean_dist"": 0.6864437102846207, ""within_rms"": 0.7522685190961842, ""center_sep_ratio"": 0.0007495377132104261, ""alpha_mean"": 0.6009836829662953, ""conf_mean"": 0.6442624042375646, ""frac_both"": 1.0, ""var_content_w"": 0.5593886840039345, ""var_struct_w"": 0.3962296546795454, ""var_share_content"": 0.5853683017155136, ""pdist_content_w"": 1.0309728169867602, ""pdist_struct_w"": 0.8249371825151564, ""cca_dim"": 8, ""eta2_content_w"": 0.17302034373480932, ""eta2_struct_w"": 0.9235152521123777, ""eta2_fused"": 0.4841993221488007, ""eta2_content_raw"": 0.16803835081833005, ""eta2_struct_raw"": 0.9312915468864371}",,0.97
var:default,crisismmd@r0.1,0,7,0.2857291980094705,0.19570598775483172,0.19570598775483172,0.3160586059796474,0.2534768564284682,,,0.86
var:default,crisismmd@r0.1,2,7,0.2295192098558979,0.12351030246634032,0.12351030246634032,0.27542921689528344,0.24819829495579157,,,0.91
rem:raw_pca,crisismmd@r0.1,1,7,0.4526031255918556,0.610431835980934,0.566274409103112,0.9293803522431724,0.7474752285965227,,,0.97
var:default,crisismmd@r0.1,1,7,0.2500320468192068,0.15651332895553594,0.15651332895553594,0.2725863522658286,0.23161853084301123,,,1.05
rem:raw_pca,crisismmd@r0.1,0,7,0.46227870735136956,0.4700585235281308,0.4700585235281308,0.875853324959058,0.5897176401796058,,,1.08
rem:std_blocks,crisismmd@r0.1,0,7,0.2889418146379113,0.2724567514605345,0.2724567514605345,0.34652611336785605,0.2891849927264727,,,0.8
rem:raw_pca,crisismmd@r0.1,2,7,0.459722526712548,0.5069534133011427,0.5069534133011427,0.8164349359361652,0.5196680848935714,,,1.0
rem:std_blocks,crisismmd@r0.1,1,7,0.24360703076692616,0.2720988258899042,0.2720988258899042,0.31822766736198954,0.3248258490454744,,,0.94
rem:std_blocks,crisismmd@r0.1,2,7,0.2267207986573969,0.10961097875001613,0.10961097875001613,0.2954883880871807,0.2846378950946044,,,0.94
rem:raw_pca+std,crisismmd@r0.1,0,7,0.46227870735136956,0.4700585235281308,0.4700585235281308,0.875853324959058,0.5897176401796058,,,1.0
rem:raw_pca+std,crisismmd@r0.1,1,7,0.4526031255918556,0.6132168550224406,0.566274409103112,0.9293803522431724,0.7479207633121051,,,1.02
