item,p,k,n,seed,alpha_forced,sub,onmi,mean_umax,m_used,extra_json
census,0.0,32,8000,0,,flags,,,,"{""flag_both"": 0.85175, ""flag_text"": 0.072625, ""flag_img"": 0.075625, ""flag_none"": 0.0, ""content_dim"": 16, ""frac_zero_content_rows"": 0.0, ""effective_rank_nonzero_rows"": 16}"
mselect,0.0,32,8000,0,,robust_fit,0.7560901100706122,0.5272377284939168,1.3,
mladder,0.0,32,8000,0,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.03125014638028303, ""1.3"": 0.5272377284939168, ""1.2"": 0.7733685719949036, ""1.1"": 0.8727395705979948}}"
census,0.4,32,8000,0,,flags,,,,"{""flag_both"": 0.31575, ""flag_text"": 0.243375, ""flag_img"": 0.24725, ""flag_none"": 0.193625, ""content_dim"": 16, ""frac_zero_content_rows"": 0.193625, ""effective_rank_nonzero_rows"": 16}"
mselect,0.4,32,8000,0,,robust_fit,0.35024805581182883,0.3408728718195284,1.1,
mladder,0.4,32,8000,0,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.031250070603391564, ""1.3"": 0.03125019821912786, ""1.2"": 0.05159713522579831, ""1.1"": 0.3408728718195284}}"
census,0.8,32,8000,0,,flags,,,,"{""flag_both"": 0.0355, ""flag_text"": 0.14575, ""flag_img"": 0.15325, ""flag_none"": 0.6655, ""content_dim"": 16, ""frac_zero_content_rows"": 0.6655, ""effective_rank_nonzero_rows"": 16}"
mselect,0.8,32,8000,0,,robust_fit,0.0,0.03126036855156539,1.1,
mladder,0.8,32,8000,0,,ladder,,,,"{""floor"": 0.2734375, ""ladder"": {""1.5"": 0.03125011847459968, ""1.3"": 0.031250185359719324, ""1.2"": 0.03125074447791832, ""1.1"": 0.03126036855156539}}"
structure_alone,0,32,8000,0,0.0,struct,0.0,0.031265078678224,1.1,
content_alone,0.8,32,8000,0,1.0,content,0.0005716986022754611,0.8886483110469929,1.5,
alpha_sweep,0.8,32,8000,0,0.05,fixed_alpha,0.0,0.03126181278101837,1.1,
