condition,severity,method,seed,k,n,avg_degree,onmi,modularity,f1,mean_umax,collapsed,wall_fit_s,peak_rss_mb,success,error
noise,1.0,nfmcd_default,0,32,8000,17.92875,0.02288883270107256,0.058502891448240286,0.03544962684941681,0.03125461787773375,True,28.468999999997322,625.283072,True,
noise,1.0,nfmcd_default,1,32,8000,17.86025,0.02380263322004439,0.05760738911646614,0.019585733109029734,0.0312549167323667,True,17.875,624.574464,True,
noise,1.0,nfmcd_default,2,32,8000,18.08425,0.018962927065131696,0.06484747694362857,0.047550465314703146,0.031255183619833746,True,17.92199999999866,627.154944,True,
noise,2.0,nfmcd_default,0,32,8000,18.00125,0.023465221775726963,0.026620605516688427,0.03743443736304555,0.031254081165715465,True,67.04699999999866,626.003968,True,
noise,2.0,nfmcd_default,1,32,8000,17.9955,0.02247697640080515,0.026662671007821534,0.02464851222687289,0.03125404782014732,True,20.485000000000582,624.603136,True,
noise,2.0,nfmcd_default,2,32,8000,17.94225,0.018907297043983418,0.03343435732471217,0.02899752011010099,0.03125372605298475,True,20.57800000000134,626.7904,True,
noise,4.0,nfmcd_default,0,32,8000,17.948,0.024166396160351322,0.010266272615230073,0.034177670552533596,0.03125394297521799,True,19.265999999995984,625.07008,True,
noise,4.0,nfmcd_default,1,32,8000,18.04175,0.022951672067992535,0.00963904013112203,0.024576816433551432,0.03125610192267327,True,16.718999999997322,605.741056,True,
noise,4.0,nfmcd_default,2,32,8000,18.0345,0.01862866246211725,0.01462280375522792,0.03424986897520267,0.031253299032320846,True,17.5940000000046,627.556352,True,
noise,8.0,nfmcd_default,0,32,8000,17.89225,0.02159664478069645,0.00016088137659563028,0.04375001706491065,0.03125371522655539,True,15.953000000001339,606.24896,True,
noise,8.0,nfmcd_default,1,32,8000,17.98475,0.023616813680442217,0.002564750815533525,0.02183918989908694,0.031256478097839324,True,17.125,624.730112,True,
noise,8.0,nfmcd_default,2,32,8000,17.96975,0.06046946096167649,-0.0007230525426873551,0.05309046997890511,0.031254345451694705,True,17.264999999999418,627.339264,True,
noise,1.0,nfmcd_robust,0,32,8000,17.92875,0.7560901100706122,0.17505915199036734,0.8674521553921719,0.5272377284939235,False,13.328000000001339,548.63872,True,
noise,1.0,nfmcd_robust,1,32,8000,17.86025,0.664078944573607,0.16637974565919741,0.7603431243781378,0.46853612803928785,False,12.953999999997905,548.532224,True,
noise,1.0,nfmcd_robust,2,32,8000,18.08425,0.7638414736598791,0.17177569047057348,0.8641192277912833,0.5478507509071247,False,12.14100000000326,597.700608,True,
noise,2.0,nfmcd_robust,0,32,8000,18.00125,0.6062167050295406,0.08119330609370753,0.7267209257066511,0.4366428342276545,False,13.218000000000757,549.269504,True,
noise,2.0,nfmcd_robust,1,32,8000,17.9955,0.5403684124294009,0.07538676959519239,0.5374665318024375,0.3086971079479647,False,13.687999999994645,594.345984,True,
noise,2.0,nfmcd_robust,2,32,8000,17.94225,0.6474132762633625,0.0792726024852873,0.7457757899408672,0.45451312718168096,False,12.43699999999808,584.671232,True,
noise,4.0,nfmcd_robust,0,32,8000,17.948,0.6581523164960545,0.030307333630481867,0.7196537581922089,0.4318163129313063,False,12.968000000000757,548.773888,True,
noise,4.0,nfmcd_robust,1,32,8000,18.04175,0.4816913406028265,0.02605477001335607,0.4899334449018007,0.29127766723650883,False,12.860000000000582,593.7152,True,
noise,4.0,nfmcd_robust,2,32,8000,18.0345,0.6578255765114317,0.03006400118241984,0.7446991512162979,0.4506574350109494,False,12.390999999995984,591.060992,True,
noise,8.0,nfmcd_robust,0,32,8000,17.89225,0.6573270874270096,0.0019310679170713321,0.7191429400804936,0.43005994237323514,False,12.952999999994063,549.412864,True,
noise,8.0,nfmcd_robust,1,32,8000,17.98475,0.4685484718363251,0.0024116353841665194,0.48629230109657023,0.2907266735456149,False,12.953000000001339,589.979648,True,
noise,8.0,nfmcd_robust,2,32,8000,17.96975,0.6557695780022244,0.0033537349296646184,0.7435940800103531,0.44957862476881943,False,12.23399999999674,596.758528,True,
noise,1.0,louvain,0,32,8000,17.92875,0.0,0.0650596732286547,0.08333578005872902,,,1.9530000000013388,313.798656,True,
noise,1.0,louvain,1,32,8000,17.86025,0.0,0.06716144149697925,0.08310241032589802,,,2.8589999999967404,316.366848,True,
noise,1.0,louvain,2,32,8000,18.08425,0.0,0.06531383680562586,0.0851179189196701,,,2.389999999999418,311.771136,True,
noise,2.0,louvain,0,32,8000,18.00125,0.0,0.05779934144081386,0.07165483856092668,,,2.312999999994645,311.332864,True,
noise,2.0,louvain,1,32,8000,17.9955,0.0,0.059914359299199665,0.06786060558243434,,,3.3280000000013388,311.865344,True,
noise,2.0,louvain,2,32,8000,17.94225,0.0,0.05958363553434388,0.07039889567395143,,,3.4690000000045984,311.955456,True,
noise,4.0,louvain,0,32,8000,17.948,0.0,0.05395871003342791,0.06807411465865484,,,2.2960000000020955,313.311232,True,
noise,4.0,louvain,1,32,8000,18.04175,0.0,0.05451475747495583,0.06494012495620144,,,2.0319999999992433,311.607296,True,
noise,4.0,louvain,2,32,8000,18.0345,0.0,0.058082387764150895,0.06690994707915986,,,2.4060000000026776,312.590336,True,
noise,8.0,louvain,0,32,8000,17.89225,0.0,0.05345935303313458,0.064339343377422,,,2.9530000000013388,311.250944,True,
noise,8.0,louvain,1,32,8000,17.98475,0.0,0.05390075301886878,0.06467920556791187,,,3.4060000000026776,311.48032,True,
noise,8.0,louvain,2,32,8000,17.96975,0.0,0.05257718452558162,0.06624777284189295,,,1.860000000000582,309.673984,True,
noise,1.0,spectral_graph_content,0,32,8000,17.92875,0.7501617195683142,0.15782808381046956,0.8699502477642437,,,9.968000000000757,3931.705344,True,
noise,1.0,spectral_graph_content,1,32,8000,17.86025,0.7616972263336746,0.15880814298816479,0.8768706937065895,,,9.905999999995402,3931.754496,True,
noise,1.0,spectral_graph_content,2,32,8000,18.08425,0.7739205371608098,0.1611999781328802,0.8840520250968137,,,9.937999999994645,3930.411008,True,
noise,2.0,spectral_graph_content,0,32,8000,18.00125,0.7230583635875207,0.07531376537540231,0.8581999588001563,,,10.031000000002678,3929.526272,True,
noise,2.0,spectral_graph_content,1,32,8000,17.9955,0.7333893545840151,0.07462346949361948,0.8631332797073228,,,9.922000000005937,3930.914816,True,
noise,2.0,spectral_graph_content,2,32,8000,17.94225,0.7419244731505075,0.0759773486299239,0.8690882759925382,,,10.01600000000326,3931.07456,True,
noise,4.0,spectral_graph_content,0,32,8000,17.948,0.7155651520359062,0.027952487862659622,0.853354483192954,,,10.0,3929.137152,True,
noise,4.0,spectral_graph_content,1,32,8000,18.04175,0.7275553467026831,0.02769881287726374,0.8589842315665643,,,10.0,3930.529792,True,
noise,4.0,spectral_graph_content,2,32,8000,18.0345,0.7350059304225492,0.028648497103314834,0.864055152529606,,,10.030999999995402,3929.964544,True,
noise,8.0,spectral_graph_content,0,32,8000,17.89225,0.7103021703330754,0.0024574891202005537,0.8505503764416726,,,10.296999999998661,3930.267648,True,
