exp,dataset,variant,seed,cond,metric,value
E2,crisismmd,default,0,all,recon_maxabs,4.440892098500626e-16
E2,crisismmd,default,0,all,n_with_content,800
E2,crisismmd,default,0,all,n_nodes,800
E2,crisismmd,default,0,all,flip_content_mean,0.09375
E2,crisismmd,default,0,all,flip_structure_mean,0.74625
E2,crisismmd,default,0,all,spearman_alpha_delta_mean,0.5366247369136514
E2,crisismmd,default,0,all,spearman_alpha_delta,0.5472533550833674
E2,crisismmd,default,0,all,spearman_posthoc_delta,-0.17267764480882003
E2,crisismmd,default,0,all,spearman_normshare_delta,0.5517117839246625
E2,crisismmd,default,0,all,spearman_alpha_tvc,0.28258002746879296
E2,crisismmd,default,0,all,spearman_alpha_tvs,-0.5685808571575894
E2,crisismmd,default,0,all,mean_tv_content,0.31596515094824257
E2,crisismmd,default,0,all,mean_tv_structure,0.21353452024444933
E2,crisismmd,default,0,all,flip_content,0.08125
E2,crisismmd,default,0,all,flip_structure,0.75
E2,crisismmd,default,0,all,alpha_std,0.09507136611345839
E2,crisismmd,default,0,all,flip_content_T1,0.0299625468164794
E2,crisismmd,default,0,all,flip_structure_T1,0.8689138576779026
E2,crisismmd,default,0,all,alpha_mean_T1,0.49629329062108135
E2,crisismmd,default,0,all,flip_content_T2,0.10112359550561797
E2,crisismmd,default,0,all,flip_structure_T2,0.7078651685393258
E2,crisismmd,default,0,all,alpha_mean_T2,0.6358916106593805
E2,crisismmd,default,0,all,flip_content_T3,0.11278195488721804
E2,crisismmd,default,0,all,flip_structure_T3,0.6729323308270677
E2,crisismmd,default,0,all,alpha_mean_T3,0.6685782140691493
E1,crisismmd,default,0,rules,n_rules,5.0
E1,crisismmd,default,0,rules,fidelity,0.3
E1,crisismmd,default,0,rules,coverage,1.0
E1,crisismmd,default,0,rules,majority_covered,0.25875
E1,crisismmd,default,0,rules,majority_all,0.25875
E1,crisismmd,default,0,rules,lift_pts,0.04125000000000001
E1,crisismmd,default,0,tree_A_L2,fit_acc,0.27625
E1,crisismmd,default,0,tree_A_L2,cv_acc,0.24375
E1,crisismmd,default,0,tree_A_L3,fit_acc,0.27625
E1,crisismmd,default,0,tree_A_L3,cv_acc,0.24124999999999996
E1,crisismmd,default,0,tree_A_L4,fit_acc,0.2825
E1,crisismmd,default,0,tree_A_L4,cv_acc,0.2425
E1,crisismmd,default,0,tree_A_L6,fit_acc,0.2925
E1,crisismmd,default,0,tree_A_L6,cv_acc,0.2475
E1,crisismmd,default,0,tree_A_L8,fit_acc,0.29875
E1,crisismmd,default,0,tree_A_L8,cv_acc,0.24625
E1,crisismmd,default,0,tree_A_L12,fit_acc,0.31125
E1,crisismmd,default,0,tree_A_L12,cv_acc,0.24
E1,crisismmd,default,0,tree_A_L16,fit_acc,0.3225
E1,crisismmd,default,0,tree_A_L16,cv_acc,0.24625
E1,crisismmd,default,0,tree_A_L24,fit_acc,0.34
E1,crisismmd,default,0,tree_A_L24,cv_acc,0.22875
E1,crisismmd,default,0,tree_A_L32,fit_acc,0.36
E1,crisismmd,default,0,tree_A_L32,cv_acc,0.22749999999999998
E1,crisismmd,default,0,tree_B_L2,fit_acc,0.5
E1,crisismmd,default,0,tree_B_L2,cv_acc,0.47625
E1,crisismmd,default,0,tree_B_L3,fit_acc,0.73875
E1,crisismmd,default,0,tree_B_L3,cv_acc,0.7375
E1,crisismmd,default,0,tree_B_L4,fit_acc,0.84625
E1,crisismmd,default,0,tree_B_L4,cv_acc,0.845
E1,crisismmd,default,0,tree_B_L6,fit_acc,0.94125
E1,crisismmd,default,0,tree_B_L6,cv_acc,0.9325000000000001
E1,crisismmd,default,0,tree_B_L8,fit_acc,0.95
E1,crisismmd,default,0,tree_B_L8,cv_acc,0.9324999999999999
E1,crisismmd,default,0,tree_B_L12,fit_acc,0.96125
E1,crisismmd,default,0,tree_B_L12,cv_acc,0.93625
E1,crisismmd,default,0,tree_B_L16,fit_acc,0.96625
E1,crisismmd,default,0,tree_B_L16,cv_acc,0.93625
E1,crisismmd,default,0,tree_B_L24,fit_acc,0.97625
E1,crisismmd,default,0,tree_B_L24,cv_acc,0.9337500000000001
E1,crisismmd,default,0,tree_B_L32,fit_acc,0.985
E1,crisismmd,default,0,tree_B_L32,cv_acc,0.9299999999999999
E1,crisismmd,default,0,tree_C_L2,fit_acc,0.5
