diagnostic,dataset,seed,variant,metric,value
sanity,fakeddit,0,default,nfmcd,0.324045
sanity,fakeddit,0,default,helper,0.324045
sanity,fakeddit,0,default,nfmcd_a05,0.393909
sanity,fakeddit,0,default,helper_a05,0.393909
d1_alpha_conf,fakeddit,0,full,onmi,0.324045
d1_alpha_conf,fakeddit,0,full,alpha_n,1200.000000
d1_alpha_conf,fakeddit,0,full,alpha_mean,0.579577
d1_alpha_conf,fakeddit,0,full,alpha_sd,0.130095
d1_alpha_conf,fakeddit,0,full,alpha_q05,0.240300
d1_alpha_conf,fakeddit,0,full,alpha_q25,0.564486
d1_alpha_conf,fakeddit,0,full,alpha_q50,0.633055
d1_alpha_conf,fakeddit,0,full,alpha_q75,0.659172
d1_alpha_conf,fakeddit,0,full,alpha_q95,0.673357
d1_alpha_conf,fakeddit,0,full,conf_n,1200.000000
d1_alpha_conf,fakeddit,0,full,conf_mean,0.613681
d1_alpha_conf,fakeddit,0,full,conf_sd,0.185849
d1_alpha_conf,fakeddit,0,full,conf_q05,0.129000
d1_alpha_conf,fakeddit,0,full,conf_q25,0.592124
d1_alpha_conf,fakeddit,0,full,conf_q50,0.690078
d1_alpha_conf,fakeddit,0,full,conf_q75,0.727389
d1_alpha_conf,fakeddit,0,full,conf_q95,0.747653
d1_alpha_conf,fakeddit,0,full,n_flag_both,1143.000000
d1_alpha_conf,fakeddit,0,full,n_flag_single,57.000000
d1_alpha_conf,fakeddit,1,full,onmi,0.364141
d1_alpha_conf,fakeddit,1,full,alpha_n,1200.000000
d1_alpha_conf,fakeddit,1,full,alpha_mean,0.581388
d1_alpha_conf,fakeddit,1,full,alpha_sd,0.128295
d1_alpha_conf,fakeddit,1,full,alpha_q05,0.235311
d1_alpha_conf,fakeddit,1,full,alpha_q25,0.562739
d1_alpha_conf,fakeddit,1,full,alpha_q50,0.631942
d1_alpha_conf,fakeddit,1,full,alpha_q75,0.658446
d1_alpha_conf,fakeddit,1,full,alpha_q95,0.673516
d1_alpha_conf,fakeddit,1,full,conf_n,1200.000000
d1_alpha_conf,fakeddit,1,full,conf_mean,0.616269
d1_alpha_conf,fakeddit,1,full,conf_sd,0.183279
d1_alpha_conf,fakeddit,1,full,conf_q05,0.121873
