part,dataset,variant,k,seed,k_true,onmi,modularity,f1,error,secs
A,crisismmd,robust,2,0,7,0.1475954394350999,0.3514221694202835,0.5462020074504066,,2.81
A,crisismmd,robust,2,2,7,0.1493547978393338,0.35095269618377223,0.5457456866634969,,2.88
A,crisismmd,robust,2,1,7,0.14952960651342007,0.3514221694202835,0.5472825449856398,,2.97
A,crisismmd,default,2,1,7,0.08481941685440675,0.3136152133510381,0.45934814979356053,,3.33
A,crisismmd,default,2,2,7,0.07390536592995722,0.3395478414000046,0.4489675552545712,,3.41
A,crisismmd,default,2,0,7,0.09036128234134688,0.3442671529681155,0.44942491549437186,,3.48
A,crisismmd,robust,3,0,7,0.3163158350944475,0.49742882710009617,0.7215462216871913,,0.44
A,crisismmd,robust,3,2,7,0.3146594078196573,0.4973256990398547,0.7201955427349689,,0.42
A,crisismmd,default,3,0,7,0.28233816132429235,0.4872175384139473,0.6821483389280685,,1.11
A,crisismmd,robust,3,1,7,0.3158594997888423,0.4973256990398547,0.7211125070549751,,0.56
A,crisismmd,default,3,2,7,0.28123126037362467,0.4901867898100774,0.6772704323296326,,1.01
A,crisismmd,default,3,1,7,0.278580577666538,0.49061725009885027,0.6771772325543649,,1.12
A,crisismmd,robust,4,0,7,0.5072149706151765,0.5336072802302336,0.8218203313001577,,0.41
A,crisismmd,robust,4,2,7,0.5073187459711236,0.533799792915508,0.8223881612362507,,0.42
A,crisismmd,robust,4,1,7,0.509231934877951,0.533799792915508,0.8234021660441815,,0.49
A,crisismmd,default,4,0,7,0.43129839917424007,0.5282009851679257,0.7602333913817177,,1.06
A,crisismmd,default,4,1,7,0.4411604317856913,0.5274921209534421,0.7673088224143161,,0.94
A,crisismmd,default,4,2,7,0.42803129460040623,0.5266532484439482,0.7606421786639805,,1.22
A,crisismmd,robust,5,1,7,0.6901753880943224,0.5329154436508488,0.8727928317844993,,0.33
A,crisismmd,robust,5,0,7,0.6916430588424757,0.532478414962296,0.8743111202593097,,0.5
A,crisismmd,default,5,1,7,0.6101563934516768,0.5279921351570837,0.7991247383696567,,0.97
A,crisismmd,default,5,0,7,0.6093085196879727,0.5300624361960498,0.8023077255548561,,1.08
A,crisismmd,default,5,2,7,0.6060274574358253,0.5310758105875993,0.7983935930696326,,1.01
A,crisismmd,robust,5,2,7,0.692411727353442,0.5325100855268408,0.8718107901203054,,0.45
A,crisismmd,robust,6,1,7,0.672118589833672,0.5263287402089529,0.803721643088705,,0.39
A,crisismmd,robust,6,0,7,0.6763569132781753,0.5255488996235972,0.8046503631286336,,0.47
A,crisismmd,robust,6,2,7,0.6741227776935603,0.5260856675801484,0.8028449244331225,,0.45
A,crisismmd,default,6,0,7,0.5561594377367584,0.5288323046117571,0.7031741907727905,,1.17
A,crisismmd,default,6,2,7,0.5577193976980979,0.5273547911937088,0.7015498215474704,,1.14
A,crisismmd,default,6,1,7,0.6218897632241884,0.5122083123224728,0.75422118098305,,1.23
A,crisismmd,robust,7,0,7,0.7067088036285051,0.45831892225027016,0.7003090224252355,,0.42
A,crisismmd,robust,7,1,7,0.7097932583825237,0.4577152988615624,0.7067227870812722,,0.44
A,crisismmd,robust,7,2,7,0.7058647764506246,0.45700605811460737,0.6988240049654377,,0.45
A,crisismmd,default,7,0,7,0.590905302529789,0.5197824512523282,0.7572625076058666,,1.16
A,crisismmd,default,7,2,7,0.6076187149920035,0.5122659845460196,0.7379396383562477,,1.0
A,crisismmd,default,7,1,7,0.6290563695197424,0.5267513351527662,0.506950028298826,,1.12
A,crisismmd,robust,8,1,7,0.7720980058770341,0.30194986085242514,0.6543653530571927,,0.44
A,crisismmd,robust,8,2,7,0.775692540135405,0.30116041868904697,0.6546550790651493,,0.5
A,crisismmd,robust,8,0,7,0.7720980058770341,0.30209051664898984,0.6543653530571927,,0.58
A,crisismmd,default,8,0,7,0.6248098103781512,0.5237828577400495,0.6623012358481863,,1.2
A,crisismmd,default,8,1,7,0.34932854539732583,0.4666925442094096,0.39158828604863416,,1.02
A,crisismmd,default,8,2,7,0.45175404720667534,0.4935387237080449,0.6301765391495605,,1.0
A,crisismmd,robust,9,0,7,0.7412448996503078,0.2990764160518135,0.726129884916008,,0.45
A,crisismmd,robust,9,1,7,0.7445630904832786,0.30011014411529324,0.727907225326219,,0.44
A,crisismmd,robust,9,2,7,0.739655594586903,0.2994661689967263,0.7247399751985046,,0.47
A,crisismmd,default,9,0,7,0.16964467138253025,0.31555535966569936,0.23623549779606665,,1.14
A,crisismmd,default,9,2,7,0.41594357106670743,0.45066341046963593,0.36241960211885027,,1.06
A,crisismmd,default,9,1,7,0.6645771381500108,0.5078193661611355,0.6402586665924874,,1.19
A,crisismmd,robust,10,0,7,0.6798463580495386,0.3040571875844191,0.8249897506636616,,0.5
A,crisismmd,robust,10,1,7,0.6807943839117604,0.30371935428362795,0.8257744303498659,,0.53
A,crisismmd,robust,10,2,7,0.6281098063467134,0.2900042636026853,0.7181207390026322,,0.58
A,crisismmd,default,10,2,7,0.39893733350548954,0.4421354101971938,0.3588880577013725,,1.12
A,crisismmd,default,10,0,7,0.16664745741120868,0.30356775812691994,0.24692942139165489,,1.31
A,crisismmd,default,10,1,7,0.4272679885870806,0.45303468646413037,0.36273237203654346,,1.34
A,crisismmd,robust,11,1,7,0.675900009563935,0.28922864854839825,0.8315979685413826,,0.49
A,crisismmd,default,11,2,7,0.41782984559661185,0.4523841847827247,0.3627473049020273,,0.91
A,crisismmd,robust,11,0,7,0.6740980890274364,0.2993816165384106,0.8439001270275804,,0.61
A,crisismmd,default,11,0,7,0.3251950560019018,0.33022456271087647,0.39030513357084773,,1.12
A,crisismmd,robust,11,2,7,0.6259713872186383,0.2804616338304552,0.7187351665508189,,0.53
A,crisismmd,default,11,1,7,0.3308703361459441,0.4366332667024261,0.38237183892204957,,1.17
A,crisismmd,robust,12,0,7,0.58019522105206,0.27593347524702727,0.6982210966843786,,0.56
A,crisismmd,robust,12,1,7,0.5806162052543415,0.2759301282917253,0.6990946144860491,,0.55
A,crisismmd,robust,12,2,7,0.5970015789381524,0.27475315054132193,0.7043322731541186,,0.55
A,crisismmd,default,12,0,7,0.1591705124894769,0.28797314285922276,0.2418028415472067,,1.05
A,crisismmd,default,12,2,7,0.3125538073851378,0.42692425141474755,0.35569050161574267,,1.09
A,crisismmd,default,12,1,7,0.2666212048740444,0.38372129217074774,0.34372114843432533,,1.11
A,crisismmd,robust,13,1,7,0.4985958992631918,0.2775758680506383,0.6776709652036342,,0.47
A,crisismmd,robust,13,2,7,0.6037450616721434,0.23186430305241068,0.7069880446681676,,0.53
A,crisismmd,robust,13,0,7,0.5789694926555525,0.2547100760633246,0.6918074816603579,,0.64
A,crisismmd,default,13,2,7,0.27634024041782823,0.4243122665786306,0.38218013401610035,,1.05
A,crisismmd,default,13,1,7,0.2798471071447306,0.3853661951908352,0.34562481043372767,,1.12
A,crisismmd,default,13,0,7,0.24383131221540066,0.30316792247916,0.34925247480976074,,1.27
A,crisismmd,robust,14,1,7,0.5614099143938165,0.2602107343466771,0.6838906924754388,,0.56
A,crisismmd,robust,14,0,7,0.5312991569368164,0.23984608021957365,0.674085218402795,,0.64
A,crisismmd,robust,14,2,7,0.5346910622787019,0.2449309838990113,0.6756306682560139,,0.58
A,crisismmd,default,14,0,7,0.1611046605809774,0.18865874991805187,0.27079425186629874,,1.05
A,crisismmd,default,14,1,7,0.24665708869906044,0.3451359179721501,0.3950882627468598,,1.08
A,crisismmd,default,14,2,7,0.25593651182029653,0.36826626585761274,0.3907348378167193,,1.05
A,fakeddit,robust,2,0,10,0.2186690678349461,0.38855064009499396,0.5986017493179265,,0.7
A,fakeddit,robust,2,1,10,0.21906711043523686,0.38855064009499396,0.5989991646317954,,0.66
A,fakeddit,robust,2,2,10,0.21946680772396676,0.3887060047666825,0.5993973723989322,,0.75
A,fakeddit,default,2,0,10,0.208707131825712,0.3886965383418459,0.582894797581129,,3.14
A,fakeddit,default,2,2,10,0.20518680807863454,0.3885317072453207,0.579250588692531,,3.06
A,fakeddit,default,2,1,10,0.20688324891839494,0.3885317072453207,0.580336569876079,,3.5
A,fakeddit,robust,3,1,10,0.3526041966905529,0.4283215434405604,0.6406743603551875,,0.59
A,fakeddit,robust,3,0,10,0.35002839668139396,0.4281634617902764,0.6402800110484045,,0.7
A,fakeddit,default,3,1,10,0.29278835623313837,0.4240398877684624,0.5729556043914114,,3.11
A,fakeddit,default,3,2,10,0.2903687555069192,0.4256083679781018,0.5724792591721561,,3.06
A,fakeddit,default,3,0,10,0.29077402125446017,0.42509070233297874,0.5725717440721603,,3.38
A,fakeddit,robust,3,2,10,0.34889462921805214,0.42823997674903364,0.6393306620750608,,0.92
A,fakeddit,robust,4,0,10,0.3711368920654239,0.44095228322427016,0.6491371081423583,,0.62
A,fakeddit,robust,4,1,10,0.3730255528574009,0.44172113401832325,0.6502635646099839,,0.67
A,fakeddit,robust,4,2,10,0.3738725684287707,0.44204247964500476,0.6526930787145552,,0.84
A,fakeddit,default,4,1,10,0.32008641836068885,0.42398174187835697,0.5551659337298215,,2.98
A,fakeddit,default,4,2,10,0.31940005063094756,0.42485458001145543,0.5562933623940638,,2.8
