part,setting,seed,method,onmi,modularity,acc_all,acc_clean,acc_bad,auroc_agree,ap_agree,auroc_conf,ap_conf,prevalence,n_both,n_bad,agree_mean_clean,agree_sd_clean,agree_mean_bad,agree_sd_bad,dprime,ovl,conf_mean_clean,conf_mean_bad,error,secs
A,A|n300|mis0.0|chi|shi,0,b:default,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.56
A,A|n300|mis0.0|chi|shi,0,b:rank16,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.09
A,A|n300|mis0.0|chi|shi,0,b:robust,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.22
A,A|n300|mis0.0|chi|shi,0,b:alpha05,0.8529489236052454,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.11
A,A|n300|mis0.0|chi|shi,0,b:concat05,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.14
A,A|n300|mis0.0|chi|shi,0,b:text_only,0.8529489236052454,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|chi|shi,0,b:image_only,0.8446431202659412,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.06
A,A|n300|mis0.0|chi|shi,0,b:structure_only,0.8383804455302661,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.02
A,A|n300|mis0.0|chi|shi,0,b:spectral,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.03
A,A|n300|mis0.0|chi|shi,0,b:kmeans_content,0.8613332551788364,0.4963894527279714,1.0,1.0,nan,,,,,,273,0,,,,,,,,,,0.05
A,A|n300|mis0.0|chi|shi,0,d:default,,,,,,nan,nan,nan,nan,0.0,273,0,0.8829641558759135,0.07885429972261894,,,,,0.6835759122362519,,,0.0
A,A|n300|mis0.0|chi|shi,0,d:rank16,,,,,,nan,nan,nan,nan,0.0,273,0,0.5987061708693252,0.2194336106904576,,,,,0.41640449037495464,,,0.0
