dataset,mode,p,method,mask_seed,seed,k_used,onmi,modularity,f1,frac_nocontent,frac_no_text,frac_no_image,mean_conf,mean_alpha,fl_both,fl_text,fl_image,fl_none,fl_unaligned,error,secs
crisismmd,none,0.00,nfmcd_all_changes,0,0,7,0.7016987804810223,0.4491504402438575,0.7229345578570907,0.0,0.0,0.0,0.499375,0.37471875,1.0,0.0,0.0,0.0,0.0,,2.47
crisismmd,none,0.00,nfmcd_all_changes,0,1,7,0.7472249586473159,0.3759511890079628,0.6422452845301211,0.0,0.0,0.0,0.499375,0.37471875,1.0,0.0,0.0,0.0,0.0,,2.5
crisismmd,none,0.00,nfmcd_rank16,0,0,7,0.7587872490260358,0.3719536274322481,0.6431645942664554,0.0,0.0,0.0,0.4497171238303191,0.46480198668122336,1.0,0.0,0.0,0.0,0.0,,0.36
crisismmd,none,0.00,nfmcd_rank16,0,1,7,0.6957404851982161,0.4551391264471764,0.7011065207021936,0.0,0.0,0.0,0.4491328347367386,0.46439298431571685,1.0,0.0,0.0,0.0,0.0,,0.34
crisismmd,none,0.00,nfmcd_full,0,0,7,0.590905302529789,0.5197824512523282,0.7572625076058666,0.0,0.0,0.0,0.6430985242576375,0.6001689669803463,1.0,0.0,0.0,0.0,0.0,,2.99
crisismmd,none,0.00,spectral_graph+content,0,0,7,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.19
crisismmd,none,0.00,spectral_graph+content,0,1,7,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.19
crisismmd,none,0.00,nfmcd_full,0,1,7,0.6290563695197424,0.5267513351527662,0.506950028298826,0.0,0.0,0.0,0.6471371057933639,0.6029959740553547,1.0,0.0,0.0,0.0,0.0,,3.03
crisismmd,none,0.00,louvain,0,1,7,0.5336043897656694,0.5348812150920406,0.6909389872845079,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,none,0.00,louvain,0,0,6,0.5763871869900328,0.5373657018496237,0.7152286011426329,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.11
crisismmd,none,0.00,nfmcd_structure_only,0,0,7,0.5992508767181561,0.4831182712339944,0.7111104559420166,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.05
crisismmd,none,0.00,nfmcd_structure_only,0,1,7,0.5491887431801526,0.516106322896425,0.7565386255900963,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.05
crisismmd,none,0.00,kmeans_content,0,1,7,0.4064742121714391,0.1989244266278576,0.5603964460777323,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.24
crisismmd,none,0.00,kmeans_content,0,0,7,0.3943730374016603,0.20111718439393395,0.5610033449335877,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,,0.33
crisismmd,image,0.10,nfmcd_all_changes,0,0,7,0.6916476165067755,0.447235793544903,0.6970357791275805,0.0,0.0,0.08875,0.455,0.35474999999999995,0.91125,0.08875,0.0,0.0,0.0,,0.28
crisismmd,image,0.10,nfmcd_all_changes,0,1,7,0.737409774242291,0.39068199694916655,0.6434051022897975,0.0,0.0,0.08875,0.455,0.35474999999999995,0.91125,0.08875,0.0,0.0,0.0,,0.3
crisismmd,image,0.10,nfmcd_rank16,0,0,7,0.7446556229038419,0.39009284914213976,0.6369973958649054,0.0,0.0,0.08875,0.40165605112399017,0.43115923578679305,0.91125,0.08875,0.0,0.0,0.0,,0.28
crisismmd,image,0.10,nfmcd_rank16,0,1,7,0.7028353626876708,0.4499156588182378,0.7018345715743274,0.0,0.0,0.08875,0.4013125092941236,0.43091875650588646,0.91125,0.08875,0.0,0.0,0.0,,0.3
crisismmd,image,0.10,spectral_graph+content,0,0,7,0.8843696086434182,0.5183939668453118,0.9595887623533007,0.0,0.0,0.08875,nan,nan,nan,nan,nan,nan,nan,,0.09
crisismmd,image,0.10,nfmcd_full,0,0,7,0.5318675488921372,0.5207142854453339,0.6501648488860289,0.0,0.0,0.08875,0.592020016110747,0.5644140112775229,0.91125,0.08875,0.0,0.0,0.0,,0.8
crisismmd,image,0.10,nfmcd_full,0,1,7,0.5393710890512471,0.521981923847479,0.6362562119880095,0.0,0.0,0.08875,0.5915701486633227,0.5640991040643258,0.91125,0.08875,0.0,0.0,0.0,,0.83
