dataset,scheme,p,method,seed,k_used,onmi,modularity,f1,frac_nocontent,mean_conf,mean_alpha,acc_overall,acc_affected,acc_background,n_affected,n_background,error,secs
crisismmd,mcar_control,0.00,nfmcd_robust,2,7,0.7058647764506246,0.45700605811460737,0.6988240049654377,0.0,0.44842451836266245,0.46389716285386373,0.8125,nan,nan,nan,nan,,2.47
crisismmd,mcar_control,0.00,nfmcd_robust,1,7,0.7097932583825237,0.4577152988615624,0.7067227870812722,0.0,0.4491328347367386,0.46439298431571685,0.82,nan,nan,nan,nan,,2.5
crisismmd,mcar_control,0.00,nfmcd_robust,0,7,0.7067088036285051,0.45831892225027016,0.7003090224252355,0.0,0.4497171238303191,0.46480198668122336,0.81625,nan,nan,nan,nan,,2.5
crisismmd,mcar_control,0.00,spectral_graph+content,0,7,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.0,nan,nan,0.96875,nan,nan,nan,nan,,0.14
crisismmd,mcar_control,0.00,spectral_graph+content,1,7,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.0,nan,nan,0.96875,nan,nan,nan,nan,,0.16
crisismmd,mcar_control,0.00,spectral_graph+content,2,7,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.0,nan,nan,0.96875,nan,nan,nan,nan,,0.16
crisismmd,mcar_control,0.00,kmeans_content,0,7,0.3943730374016603,0.20111718439393395,0.5610033449335877,0.0,nan,nan,0.6025,nan,nan,nan,nan,,0.31
crisismmd,mcar_control,0.00,nfmcd_full,2,7,0.6076187149920035,0.5122659845460196,0.7379396383562477,0.0,0.6442624042375646,0.6009836829662953,0.9,nan,nan,nan,nan,,2.95
crisismmd,mcar_control,0.00,kmeans_content,1,7,0.4064742121714391,0.1989244266278576,0.5603964460777323,0.0,nan,nan,0.58125,nan,nan,nan,nan,,0.31
crisismmd,mcar_control,0.00,nfmcd_full,0,7,0.590905302529789,0.5197824512523282,0.7572625076058666,0.0,0.6430985242576375,0.6001689669803463,0.92375,nan,nan,nan,nan,,3.01
crisismmd,mcar_control,0.00,kmeans_content,2,7,0.4209784745470222,0.21987580201939383,0.6037258915449902,0.0,nan,nan,0.64,nan,nan,nan,nan,,0.39
crisismmd,mcar_control,0.00,louvain,0,6,0.5763871869900328,0.5373657018496237,0.7152286011426329,0.0,nan,nan,0.875,nan,nan,nan,nan,,0.11
crisismmd,mcar_control,0.00,louvain,1,7,0.5336043897656694,0.5348812150920406,0.6909389872845079,0.0,nan,nan,0.8925,nan,nan,nan,nan,,0.09
crisismmd,mcar_control,0.00,louvain,2,6,0.5590786906111336,0.5352797328761504,0.7232748244613503,0.0,nan,nan,0.8775,nan,nan,nan,nan,,0.09
crisismmd,mcar_control,0.00,nfmcd_full,1,7,0.6290563695197424,0.5267513351527662,0.506950028298826,0.0,0.6471371057933639,0.6029959740553547,0.8425,nan,nan,nan,nan,,3.16
