exp,dataset,variant,seed,cond,metric,value
A,crisismmd,default,3,nbr,n_rules,7.0
A,crisismmd,default,3,nbr,coverage,0.9325
A,crisismmd,default,3,nbr,fidelity,0.86
A,crisismmd,default,3,nbr,precision_covered,0.9222520107238605
A,crisismmd,default,3,nbr,majority,0.26
A,crisismmd,default,3,nbr,fidelity_with_fallback,0.905
A,crisismmd,default,3,old,fidelity,0.29
A,crisismmd,default,3,old,n_rules,5.0
A,crisismmd,default,3,curve|r1,fidelity,0.26
A,crisismmd,default,3,curve|r1,coverage,0.30125
A,crisismmd,default,3,curve|r2,fidelity,0.50125
A,crisismmd,default,3,curve|r2,coverage,0.5675
A,crisismmd,default,3,curve|r3,fidelity,0.74125
A,crisismmd,default,3,curve|r3,coverage,0.82
A,crisismmd,default,3,curve|r4,fidelity,0.8375
A,crisismmd,default,3,curve|r4,coverage,0.90625
A,crisismmd,default,3,curve|r5,fidelity,0.85625
A,crisismmd,default,3,curve|r5,coverage,0.92875
A,crisismmd,default,3,curve|r6,fidelity,0.86125
A,crisismmd,default,3,curve|r6,coverage,0.93125
A,crisismmd,default,3,curve|r7,fidelity,0.86
A,crisismmd,default,3,curve|r7,coverage,0.9325
A,crisismmd,default,3,tree|L2,train,0.50125
A,crisismmd,default,3,tree|L2,cv,0.48125
A,crisismmd,default,3,tree|L3,train,0.73875
A,crisismmd,default,3,tree|L3,cv,0.7375
A,crisismmd,default,3,tree|L4,train,0.84625
A,crisismmd,default,3,tree|L4,cv,0.845
A,crisismmd,default,3,tree|L6,train,0.905
A,crisismmd,default,3,tree|L6,cv,0.89375
A,crisismmd,default,3,tree|L8,train,0.925
A,crisismmd,default,3,tree|L8,cv,0.89625
A,crisismmd,default,3,tree|L12,train,0.93625
A,crisismmd,default,3,tree|L12,cv,0.9037499999999999
A,crisismmd,default,3,tree|L16,train,0.945
A,crisismmd,default,3,tree|L16,cv,0.905
A,crisismmd,default,3,tree|L24,train,0.955
A,crisismmd,default,3,tree|L24,cv,0.90625
B,crisismmd,default,3,all,n_with_content,800
B,crisismmd,default,3,all,n_nodes,800
B,crisismmd,default,3,all,refit_fallback,0
B,crisismmd,default,3,all,flip_rate_refit,0.15125
B,crisismmd,default,3,all,flip_rate_seed_noise,0.14625
B,crisismmd,default,3,content_sensitivity,auc_flip,0.24621769982594727
B,crisismmd,default,3,content_sensitivity,spearman_flip,-0.3149850031472264
B,crisismmd,default,3,content_flip_margin,auc_flip,0.939458854173006
B,crisismmd,default,3,content_flip_margin,spearman_flip,0.5454397271591656
B,crisismmd,default,3,alpha,auc_flip,0.6112051023016346
B,crisismmd,default,3,alpha,spearman_flip,0.13802357167716042
B,crisismmd,default,3,normshare,auc_flip,0.6181550408354533
B,crisismmd,default,3,normshare,spearman_flip,0.14664957281847915
B,crisismmd,default,3,structure_sensitivity_neg,auc_flip,0.8683893426161468
B,crisismmd,default,3,structure_sensitivity_neg,spearman_flip,0.45723093440231777
B,crisismmd,default,3,intervention_flip,agreement,0.87875
B,crisismmd,default,3,intervention_flip,precision,0.6621621621621622
B,crisismmd,default,3,intervention_flip,recall,0.4049586776859504
B,crisismmd,default,3,all,mean_content_sensitivity,0.2936748723913849
B,crisismmd,default,3,all,mean_structure_sensitivity,0.2186862086959544
_,crisismmd,default,3,core|crisismmd|default|3,_done,3.5
A,crisismmd,default,2,nbr,n_rules,6.0
A,crisismmd,default,2,nbr,coverage,0.9475
A,crisismmd,default,2,nbr,fidelity,0.86375
A,crisismmd,default,2,nbr,precision_covered,0.9116094986807388
A,crisismmd,default,2,nbr,majority,0.25875
A,crisismmd,default,2,nbr,fidelity_with_fallback,0.90375
A,crisismmd,default,2,old,fidelity,0.2725
A,crisismmd,default,2,old,n_rules,5.0
A,crisismmd,default,2,curve|r1,fidelity,0.25875
A,crisismmd,default,2,curve|r1,coverage,0.3
A,crisismmd,default,2,curve|r2,fidelity,0.49875
A,crisismmd,default,2,curve|r2,coverage,0.565
A,crisismmd,default,2,curve|r3,fidelity,0.73875
A,crisismmd,default,2,curve|r3,coverage,0.81875
A,crisismmd,default,2,curve|r4,fidelity,0.835
A,crisismmd,default,2,curve|r4,coverage,0.90625
A,crisismmd,default,2,curve|r5,fidelity,0.855
A,crisismmd,default,2,curve|r5,coverage,0.9325
A,crisismmd,default,2,curve|r6,fidelity,0.86375
A,crisismmd,default,2,curve|r6,coverage,0.9475
A,crisismmd,default,2,tree|L2,train,0.49875
A,crisismmd,default,2,tree|L2,cv,0.46624999999999994
A,crisismmd,default,2,tree|L3,train,0.73625
