rate,blend,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,primary_onmi,primary_modularity,primary_f1,note,error,secs
0.1,0.0,nfmcd_default,3,300,0.0867,26,0.595592363840539,0.13894726000125512,0.05,0.20095693779904306,0.11475409836065574,0.8076923076923077,0.07142857142857144,0.5,0.038461538461538464,0.2308,26,0.8584,0.4878,0.9587,,,0.61
0.1,0.0,nfmcd_robust,3,300,0.0867,26,0.6520213363279057,0.16498393715804838,0.05,0.1904761904761905,0.13793103448275862,0.3076923076923077,0.0,0.0,0.0,0.1923,26,0.8615,0.4878,0.9586,,,0.2
0.1,0.0,demon,3,300,0.0867,26,,,,0.1717,0.0966,0.7692,,,,,,,,,single fixed operating point,,1.78
0.1,0.0,slpa,3,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.2
0.1,0.0,always_overlap,3,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,always_no_overlap,3,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,nfmcd_default,0,300,0.08,24,0.4296497584541063,0.07611845884938609,0.1,0.14285714285714285,0.10869565217391304,0.20833333333333334,0.0,0.0,0.0,0.25,24,0.8616,0.4942,0.9601,,,0.62
0.1,0.0,nfmcd_robust,0,300,0.08,24,0.4948671497584541,0.0852624428658951,0.05,0.11594202898550726,0.08888888888888889,0.16666666666666666,0.0,0.0,0.0,0.1667,24,0.8689,0.4942,0.9616,,,0.23
0.1,0.0,demon,0,300,0.08,24,,,,0.1486,0.0803,1.0,,,,,,,,,single fixed operating point,,1.77
0.1,0.0,slpa,0,300,0.08,24,,,,0.1264,0.0733,0.4583,,,,,,,,,single fixed operating point,,0.22
0.1,0.0,always_overlap,0,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,always_no_overlap,0,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,nfmcd_default,1,300,0.0633,19,0.4603858400449522,0.05970726264636495,0.05,0.11214953271028039,0.06153846153846154,0.631578947368421,0.0,0.0,0.0,0.1579,19,0.8755,0.5047,0.9663,,,0.58
0.1,0.0,nfmcd_robust,1,300,0.0633,19,0.4999063495036524,0.07968385723080253,0.05,0.14285714285714285,0.09803921568627451,0.2631578947368421,0.0,0.0,0.0,0.1053,19,0.8903,0.5047,0.9694,,,0.22
0.1,0.0,demon,1,300,0.0633,19,,,,0.1203,0.064,1.0,,,,,,,,,single fixed operating point,,1.8
0.1,0.0,slpa,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.25
0.1,0.0,always_overlap,1,300,0.0633,19,,,,0.1191,0.0633,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,always_no_overlap,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,nfmcd_default,2,300,0.08,24,0.4335748792270531,0.07690793586603578,0.1,0.13513513513513514,0.1,0.20833333333333334,0.0,0.0,0.0,0.25,24,0.8417,0.4782,0.9544,,,0.59
0.1,0.0,nfmcd_robust,2,300,0.08,24,0.42300724637681164,0.06676026090345316,0.05,0.025974025974025972,0.018867924528301886,0.041666666666666664,0.0,0.0,0.0,0.125,24,0.8597,0.4782,0.959,,,0.22
0.1,0.0,demon,2,300,0.08,24,,,,0.1505,0.0814,1.0,,,,,,,,,single fixed operating point,,1.81
0.1,0.0,slpa,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.26
0.1,0.0,always_overlap,2,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,always_no_overlap,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,nfmcd_default,4,300,0.0867,26,0.49775407074677147,0.13413989471016508,0.05,0.15873015873015872,0.09202453987730061,0.5769230769230769,0.07407407407407407,1.0,0.038461538461538464,0.2308,26,0.8556,0.512,0.9572,,,0.14
0.1,0.0,nfmcd_robust,4,300,0.0867,26,0.4632229084783829,0.12277914937884953,0.05,0.0857142857142857,0.06818181818181818,0.11538461538461539,0.07407407407407407,1.0,0.038461538461538464,0.1923,26,0.8556,0.512,0.9572,,,0.16
0.1,0.0,demon,4,300,0.0867,26,,,,0.1615,0.0878,1.0,,,,,,,,,single fixed operating point,,0.17
0.1,0.0,slpa,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.2
0.1,0.0,always_overlap,4,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.0,always_no_overlap,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,nfmcd_default,0,300,0.08,24,0.573973429951691,0.17486945156181816,0.1,0.20779220779220778,0.1509433962264151,0.3333333333333333,0.14285714285714285,0.5,0.08333333333333333,0.625,24,0.8629,0.477,0.9619,,,0.17
0.1,0.3,nfmcd_robust,0,300,0.08,24,0.6082427536231884,0.1852380842645528,0.05,0.15789473684210525,0.11538461538461539,0.25,0.07999999999999999,1.0,0.041666666666666664,0.875,24,0.8615,0.477,0.9601,,,0.14
0.1,0.3,demon,0,300,0.08,24,,,,0.1486,0.0803,1.0,,,,,,,,,single fixed operating point,,0.14
0.1,0.3,slpa,0,300,0.08,24,,,,0.0779,0.0566,0.125,,,,,,,,,single fixed operating point,,0.22
0.1,0.3,always_overlap,0,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,always_no_overlap,0,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,nfmcd_default,1,300,0.0633,19,0.6259599175875632,0.11186350585579599,0.1,0.175,0.11475409836065574,0.3684210526315789,0.0,0.0,0.0,0.6316,19,0.8754,0.4905,0.9663,,,0.16
0.1,0.3,nfmcd_robust,1,300,0.0633,19,0.5988012736467503,0.13625182585165815,0.1,0.2222222222222222,0.23529411764705882,0.21052631578947367,0.0,0.0,0.0,0.7895,19,0.8828,0.4905,0.9678,,,0.16
0.1,0.3,demon,1,300,0.0633,19,,,,0.1199,0.0638,1.0,,,,,,,,,single fixed operating point,,0.16
0.1,0.3,slpa,1,300,0.0633,19,,,,0.1667,0.122,0.2632,,,,,,,,,single fixed operating point,,0.22
0.1,0.3,always_overlap,1,300,0.0633,19,,,,0.1191,0.0633,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,always_no_overlap,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,nfmcd_default,2,300,0.08,24,0.5957125603864735,0.14770122274984085,0.1,0.19753086419753085,0.14035087719298245,0.3333333333333333,0.0,0.0,0.0,0.5833,24,0.8417,0.4575,0.9544,,,0.19
0.1,0.3,nfmcd_robust,2,300,0.08,24,0.5560084541062802,0.09730621703573644,0.1,0.1111111111111111,0.16666666666666666,0.08333333333333333,0.0,0.0,0.0,0.75,24,0.8541,0.4575,0.9575,,,0.12
0.1,0.3,demon,2,300,0.08,24,,,,0.1509,0.0816,1.0,,,,,,,,,single fixed operating point,,0.17
0.1,0.3,slpa,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.24
0.1,0.3,always_overlap,2,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,always_no_overlap,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.5,nfmcd_default,0,300,0.08,24,0.6375301932367149,0.2832261987283978,0.15,0.2727272727272727,0.3,0.25,0.21428571428571427,0.75,0.125,0.7917,24,0.8766,0.4623,0.9651,,,0.12
0.1,0.5,nfmcd_robust,0,300,0.08,24,0.7095410628019324,0.22747952287785334,0.05,0.25,0.17857142857142858,0.4166666666666667,0.07999999999999999,1.0,0.041666666666666664,1.0,24,0.8741,0.4625,0.9633,,,0.11
0.1,0.5,demon,0,300,0.08,24,,,,0.1486,0.0803,1.0,,,,,,,,,single fixed operating point,,0.14
0.1,0.5,slpa,0,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.22
0.1,0.5,always_overlap,0,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.5,always_no_overlap,0,300,0.08,24,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,nfmcd_default,3,300,0.0867,26,0.7074677147669849,0.22619958826693704,0.05,0.2173913043478261,0.12254901960784313,0.9615384615384616,0.07142857142857144,0.5,0.038461538461538464,0.5385,26,0.8584,0.4646,0.9587,,,0.14
0.1,0.3,nfmcd_robust,3,300,0.0867,26,0.6962380685008422,0.22251784986595816,0.05,0.2650602409638554,0.19298245614035087,0.4230769230769231,0.07407407407407407,1.0,0.038461538461538464,0.6154,26,0.8659,0.4646,0.9603,,,0.11
0.1,0.3,demon,3,300,0.0867,26,,,,0.16,0.087,1.0,,,,,,,,,single fixed operating point,,0.19
0.1,0.3,slpa,3,300,0.0867,26,,,,0.1616,0.1096,0.3077,,,,,,,,,single fixed operating point,,0.22
0.1,0.3,always_overlap,3,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,always_no_overlap,3,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,nfmcd_default,4,300,0.0867,26,0.6431779898933184,0.2847910737683892,0.1,0.273972602739726,0.2127659574468085,0.38461538461538464,0.20689655172413793,1.0,0.11538461538461539,0.6154,26,0.864,0.4885,0.9605,,,0.11
0.1,0.3,nfmcd_robust,4,300,0.0867,26,0.6177709152161708,0.24331791906765282,0.1,0.2,0.2857142857142857,0.15384615384615385,0.14285714285714288,1.0,0.07692307692307693,0.6538,26,0.8593,0.4885,0.9589,,,0.11
0.1,0.3,demon,4,300,0.0867,26,,,,0.161,0.0875,1.0,,,,,,,,,single fixed operating point,,0.14
0.1,0.3,slpa,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.25
0.1,0.3,always_overlap,4,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.3,always_no_overlap,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.5,nfmcd_default,1,300,0.0633,19,0.8613972654055067,0.4283269967787021,0.15,0.46153846153846156,0.45,0.47368421052631576,0.25,0.6,0.15789473684210525,0.6842,19,0.8779,0.4762,0.9681,,,0.14
0.1,0.5,nfmcd_robust,1,300,0.0633,19,0.7711181869263908,0.3206931652714037,0.2,0.2727272727272727,1.0,0.15789473684210525,0.2727272727272727,1.0,0.15789473684210525,0.8421,19,0.9053,0.4762,0.9743,,,0.14
0.1,0.5,demon,1,300,0.0633,19,,,,0.1191,0.0633,1.0,,,,,,,,,single fixed operating point,,0.14
0.1,0.5,slpa,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.22
0.1,0.5,always_overlap,1,300,0.0633,19,,,,0.1191,0.0633,1.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.5,always_no_overlap,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,,,,single fixed operating point,,0.0
0.1,0.5,nfmcd_default,2,300,0.08,24,0.6508152173913043,0.21027993189377478,0.1,0.27906976744186046,0.1935483870967742,0.5,0.13333333333333333,0.3333333333333333,0.08333333333333333,0.75,24,0.8587,0.4459,0.9593,,,0.16
0.1,0.5,nfmcd_robust,2,300,0.08,24,0.6420591787439613,0.1657173375554734,0.1,0.15789473684210525,0.21428571428571427,0.125,0.07692307692307693,0.5,0.041666666666666664,0.8333,24,0.8716,0.4459,0.9622,,,0.12
0.1,0.5,demon,2,300,0.08,24,,,,0.1505,0.0814,1.0,,,,,,,,,single fixed operating point,,0.12
