rate,blend,condition,seed,n_nodes,n_overlap,onmi_standard,strict_acc_all,lenient_acc_all,strict_acc_overlap,lenient_acc_overlap,strict_acc_nonoverlap,frac_hard_c1,frac_hard_c2,frac_hard_neither,mean_degree_overlap,mean_degree_nonoverlap,spearman_degree_vs_strict_correct,note,error,secs
0.1,0.0,combined,0,300,24,0.8616,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.75,15.457,,,,0.56
0.1,0.0,combined,1,300,19,0.8755,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,15.345,,,,0.56
0.1,0.0,combined,2,300,24,0.8417,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.042,15.091,,,,0.56
0.1,0.0,combined,3,300,26,0.8584,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.923,15.285,,,,0.58
0.1,0.0,combined,4,300,26,0.8556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.346,14.953,,,,0.11
0.1,0.3,combined,0,300,24,0.8629,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.542,15.728,,,,0.12
0.1,0.3,edge_only,0,300,24,0.8629,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,17.542,15.728,,,,0.11
0.1,0.3,content_only,0,300,24,0.8616,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.75,15.457,,,,0.14
0.1,0.3,combined,2,300,24,0.8417,0.9967,0.9967,1.0,1.0,0.9964,1.0,0.0,0.0,16.75,15.457,-0.0757,,,0.14
0.1,0.3,edge_only,2,300,24,0.8417,0.9967,0.9967,1.0,1.0,0.9964,1.0,0.0,0.0,16.75,15.457,-0.0757,,,0.12
0.1,0.3,content_only,2,300,24,0.8417,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.042,15.091,,,,0.14
0.1,0.3,combined,1,300,19,0.8754,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.895,15.552,,,,0.17
0.1,0.3,edge_only,1,300,19,0.8754,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.895,15.552,,,,0.12
0.1,0.3,content_only,1,300,19,0.8755,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,14.0,15.345,,,,0.14
0.1,0.3,combined,3,300,26,0.8584,0.9967,1.0,0.9615,1.0,1.0,0.9615,0.0385,0.0,18.654,15.624,-0.0288,,,0.11
0.1,0.3,edge_only,3,300,26,0.8618,0.9967,1.0,0.9615,1.0,1.0,0.9615,0.0385,0.0,18.654,15.624,-0.0288,,,0.14
0.1,0.3,content_only,3,300,26,0.8584,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,15.923,15.285,,,,0.11
0.1,0.3,combined,4,300,26,0.864,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.385,15.321,,,,0.12
0.1,0.3,edge_only,4,300,26,0.8603,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,18.385,15.321,,,,0.14
0.1,0.3,content_only,4,300,26,0.8556,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,16.346,14.953,,,,0.11
0.1,0.5,combined,0,300,24,0.8766,0.9967,1.0,0.9583,1.0,1.0,0.9583,0.0417,0.0,18.75,16.0,-0.0992,,,0.12
