part,dataset,method,seed,n_nodes,true_overlap_rate,n_true_overlap,auroc,ap,best_thr,best_f1,precision_at_best,recall_at_best,f1_at_0.2,precision_at_0.2,recall_at_0.2,second_comm_acc,n_eval_second,note,error,secs
A,r0.0,nfmcd_default,4,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.14
A,r0.0,nfmcd_robust,4,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.19
A,r0.0,demon,4,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,2.52
A,r0.0,slpa,4,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.25
A,r0.0,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),4,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,always_no_overlap,4,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,nfmcd_default,2,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.17
A,r0.0,nfmcd_robust,2,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.25
A,r0.0,demon,2,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,2.5
A,r0.0,slpa,2,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.19
A,r0.0,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),2,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,always_no_overlap,2,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,nfmcd_default,0,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.2
A,r0.0,nfmcd_robust,0,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.22
A,r0.0,demon,0,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,2.47
A,r0.0,slpa,0,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.2
A,r0.0,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),0,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,always_no_overlap,0,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,nfmcd_default,3,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.14
A,r0.0,nfmcd_robust,3,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.2
A,r0.0,demon,3,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,2.48
A,r0.0,slpa,3,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.24
A,r0.0,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),3,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,always_no_overlap,3,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,nfmcd_default,1,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.14
A,r0.0,nfmcd_robust,1,300,0.0,0,nan,nan,0.05,0.0,0.0,0.0,0.0,0.0,0.0,,0,,,0.2
A,r0.0,demon,1,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,2.51
A,r0.0,slpa,1,300,0.0,0,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.3
A,r0.0,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),1,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.0,always_no_overlap,1,300,0.0,0,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.1,nfmcd_default,0,300,0.08,24,0.4296497584541063,0.07611845884938609,0.1,0.14285714285714285,0.10869565217391304,0.20833333333333334,0.0,0.0,0.0,0.25,24,,,0.16
A,r0.1,nfmcd_robust,0,300,0.08,24,0.4948671497584541,0.0852624428658951,0.05,0.11594202898550726,0.08888888888888889,0.16666666666666666,0.0,0.0,0.0,0.1667,24,,,0.22
A,r0.1,demon,0,300,0.08,24,,,,0.1486,0.0803,1.0,,,,,,"single fixed operating point, not threshold-based",,2.55
A,r0.1,slpa,0,300,0.08,24,,,,0.1264,0.0733,0.4583,,,,,,"single fixed operating point, not threshold-based",,0.3
A,r0.1,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),0,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,single fixed operating point,,0.0
A,r0.1,always_no_overlap,0,300,0.08,24,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.1,nfmcd_default,1,300,0.0633,19,0.4603858400449522,0.05970726264636495,0.05,0.11214953271028039,0.06153846153846154,0.631578947368421,0.0,0.0,0.0,0.1579,19,,,0.12
A,r0.1,nfmcd_robust,1,300,0.0633,19,0.4999063495036524,0.07968385723080253,0.05,0.14285714285714285,0.09803921568627451,0.2631578947368421,0.0,0.0,0.0,0.1053,19,,,0.14
A,r0.1,demon,1,300,0.0633,19,,,,0.1203,0.064,1.0,,,,,,"single fixed operating point, not threshold-based",,0.14
A,r0.1,slpa,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.27
A,r0.1,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),1,300,0.0633,19,,,,0.1191,0.0633,1.0,,,,,,single fixed operating point,,0.0
A,r0.1,always_no_overlap,1,300,0.0633,19,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.1,nfmcd_default,3,300,0.0867,26,0.595592363840539,0.13894726000125512,0.05,0.20095693779904306,0.11475409836065574,0.8076923076923077,0.07142857142857144,0.5,0.038461538461538464,0.2308,26,,,0.12
A,r0.1,nfmcd_robust,3,300,0.0867,26,0.6520213363279057,0.16498393715804838,0.05,0.1904761904761905,0.13793103448275862,0.3076923076923077,0.0,0.0,0.0,0.1923,26,,,0.12
A,r0.1,demon,3,300,0.0867,26,,,,0.1717,0.0966,0.7692,,,,,,"single fixed operating point, not threshold-based",,0.17
A,r0.1,slpa,3,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.26
A,r0.1,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),3,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,single fixed operating point,,0.0
A,r0.1,always_no_overlap,3,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.1,nfmcd_default,4,300,0.0867,26,0.49775407074677147,0.13413989471016508,0.05,0.15873015873015872,0.09202453987730061,0.5769230769230769,0.07407407407407407,1.0,0.038461538461538464,0.2308,26,,,0.12
A,r0.1,nfmcd_robust,4,300,0.0867,26,0.4632229084783829,0.12277914937884953,0.05,0.0857142857142857,0.06818181818181818,0.11538461538461539,0.07407407407407407,1.0,0.038461538461538464,0.1923,26,,,0.17
A,r0.1,demon,4,300,0.0867,26,,,,0.1615,0.0878,1.0,,,,,,"single fixed operating point, not threshold-based",,0.17
A,r0.1,slpa,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.22
A,r0.1,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),4,300,0.0867,26,,,,0.1595,0.0867,1.0,,,,,,single fixed operating point,,0.0
A,r0.1,always_no_overlap,4,300,0.0867,26,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.2,nfmcd_default,1,300,0.15,45,0.49742919389978213,0.14582235855543485,0.05,0.272,0.16585365853658537,0.7555555555555555,0.0,0.0,0.0,0.2222,45,,,0.17
A,r0.2,nfmcd_robust,1,300,0.15,45,0.44331154684095864,0.14407961687563148,0.05,0.11764705882352941,0.125,0.1111111111111111,0.0,0.0,0.0,0.2444,45,,,0.11
A,r0.2,demon,1,300,0.15,45,,,,0.2632,0.1515,1.0,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.2,slpa,1,300,0.15,45,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.22
A,r0.2,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),1,300,0.15,45,,,,0.2609,0.15,1.0,,,,,,single fixed operating point,,0.0
A,r0.2,always_no_overlap,1,300,0.15,45,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.1,nfmcd_default,2,300,0.08,24,0.4335748792270531,0.07690793586603578,0.1,0.13513513513513514,0.1,0.20833333333333334,0.0,0.0,0.0,0.25,24,,,0.17
A,r0.1,nfmcd_robust,2,300,0.08,24,0.42300724637681164,0.06676026090345316,0.05,0.025974025974025972,0.018867924528301886,0.041666666666666664,0.0,0.0,0.0,0.125,24,,,0.17
A,r0.1,demon,2,300,0.08,24,,,,0.1505,0.0814,1.0,,,,,,"single fixed operating point, not threshold-based",,0.2
A,r0.1,slpa,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.23
A,r0.1,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),2,300,0.08,24,,,,0.1481,0.08,1.0,,,,,,single fixed operating point,,0.0
A,r0.1,always_no_overlap,2,300,0.08,24,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.2,nfmcd_default,0,300,0.1933,58,0.47884012539184956,0.21366075318375086,0.05,0.2834008097165992,0.18518518518518517,0.603448275862069,0.03333333333333333,0.5,0.017241379310344827,0.2069,58,,,0.19
A,r0.2,nfmcd_robust,0,300,0.1933,58,0.49886007409518385,0.24662535688315496,0.05,0.22,0.2619047619047619,0.1896551724137931,0.03389830508474576,1.0,0.017241379310344827,0.1897,58,,,0.12
A,r0.2,demon,0,300,0.1933,58,,,,0.3193,0.1906,0.9828,,,,,,"single fixed operating point, not threshold-based",,0.17
A,r0.2,slpa,0,300,0.1933,58,,,,0.3269,0.2267,0.5862,,,,,,"single fixed operating point, not threshold-based",,0.28
A,r0.2,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),0,300,0.1933,58,,,,0.324,0.1933,1.0,,,,,,single fixed operating point,,0.0
A,r0.2,always_no_overlap,0,300,0.1933,58,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.2,nfmcd_default,2,300,0.1533,46,0.5067613830879836,0.1657548747537789,0.05,0.25296442687747034,0.15458937198067632,0.6956521739130435,0.041666666666666664,0.5,0.021739130434782608,0.1957,46,,,0.12
A,r0.2,nfmcd_robust,2,300,0.1533,46,0.5434782608695653,0.18008104632594957,0.05,0.20408163265306123,0.19230769230769232,0.21739130434782608,0.0,0.0,0.0,0.1522,46,,,0.11
A,r0.2,demon,2,300,0.1533,46,,,,0.2581,0.1492,0.9565,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.2,slpa,2,300,0.1533,46,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.19
A,r0.2,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),2,300,0.1533,46,,,,0.2659,0.1533,1.0,,,,,,single fixed operating point,,0.0
A,r0.2,always_no_overlap,2,300,0.1533,46,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.2,nfmcd_default,4,300,0.1533,46,0.5096713454296473,0.17678448119828072,0.05,0.22522522522522523,0.14204545454545456,0.5434782608695652,0.0,0.0,0.0,0.2391,46,,,0.14
A,r0.2,nfmcd_robust,4,300,0.1533,46,0.5069325573433756,0.16765272231240397,0.05,0.10869565217391304,0.10869565217391304,0.10869565217391304,0.0,0.0,0.0,0.1957,46,,,0.12
A,r0.2,demon,4,300,0.1533,46,,,,0.2573,0.1486,0.9565,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.2,slpa,4,300,0.1533,46,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.19
A,r0.2,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),4,300,0.1533,46,,,,0.2659,0.1533,1.0,,,,,,single fixed operating point,,0.0
A,r0.2,always_no_overlap,4,300,0.1533,46,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.3,nfmcd_default,1,300,0.2133,64,0.48252118644067793,0.20154555342018654,0.05,0.29343629343629346,0.19487179487179487,0.59375,0.0,0.0,0.0,0.1719,64,,,0.12
A,r0.3,nfmcd_robust,1,300,0.2133,64,0.46378442796610175,0.19127207538559063,0.05,0.11864406779661016,0.12962962962962962,0.109375,0.0,0.0,0.0,0.1719,64,,,0.11
A,r0.3,demon,1,300,0.2133,64,,,,0.349,0.2121,0.9844,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.3,slpa,1,300,0.2133,64,,,,0.0,0.0,0.0,,,,,,"single fixed operating point, not threshold-based",,0.2
A,r0.3,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),1,300,0.2133,64,,,,0.3516,0.2133,1.0,,,,,,single fixed operating point,,0.0
A,r0.3,always_no_overlap,1,300,0.2133,64,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.3,nfmcd_default,0,300,0.2633,79,0.5192737270175841,0.28912192152767185,0.05,0.37551020408163266,0.27710843373493976,0.5822784810126582,0.0,0.0,0.0,0.2278,79,,,0.12
A,r0.3,nfmcd_robust,0,300,0.2633,79,0.517669969643164,0.2743350449295635,0.05,0.224,0.30434782608695654,0.17721518987341772,0.0,0.0,0.0,0.2405,79,,,0.11
A,r0.3,demon,0,300,0.2633,79,,,,0.418,0.2642,1.0,,,,,,"single fixed operating point, not threshold-based",,0.12
A,r0.3,slpa,0,300,0.2633,79,,,,0.3493,0.2667,0.5063,,,,,,"single fixed operating point, not threshold-based",,0.22
A,r0.3,always_overlap (= naive top-2-FCM-center: every node forced to a 2nd community),0,300,0.2633,79,,,,0.4169,0.2633,1.0,,,,,,single fixed operating point,,0.0
A,r0.3,always_no_overlap,0,300,0.2633,79,,,,0.0,0.0,0.0,,,,,,single fixed operating point,,0.0
A,r0.2,nfmcd_default,3,300,0.1767,53,0.52020472080055,0.1773901373187916,0.05,0.282258064516129,0.1794871794871795,0.660377358490566,0.0,0.0,0.0,0.2264,53,,,0.12
