part,dataset,method,seed,threshold,precision,recall,f1
A,r0.0,nfmcd_default,4,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_default,4,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_robust,4,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_default,2,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_robust,2,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_default,0,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_robust,0,0.5,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.05,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.1,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.15,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.2,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.25,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.3,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.4,0.0,0.0,0.0
A,r0.0,nfmcd_default,3,0.5,0.0,0.0,0.0
