part,method,n,k,seed,avg_degree,onmi,modularity,f1,n_pred,wall_fit_s,peak_rss_mb,success,error
A,nfmcd_default,300,8,0,17.633333333333333,0.8733005857543785,0.42164414792685845,0.9557802135324065,8,0.13999999999941792,213.057536,True,
A,nfmcd_default,300,8,1,17.753333333333334,0.8549030870764973,0.43249646164339656,0.9510331411266817,8,0.20300000000133878,215.011328,True,
A,nfmcd_default,300,8,2,17.7,0.8723662145438627,0.4372301843162707,0.9557164786599814,8,0.18800000000192085,215.16288,True,
A,nfmcd_default,1000,8,0,18.092,0.8696430060130398,0.44201039016002375,0.9579341528037102,8,1.25,222.547968,True,
A,nfmcd_default,1000,8,1,18.052,0.8662194585573364,0.4358845109990495,0.9569087453977339,8,1.1090000000040163,222.06464,True,
A,nfmcd_default,1000,8,2,18.024,0.876300432764461,0.4339970695973943,0.9620236984780711,8,1.1869999999980791,220.729344,True,
A,nfmcd_default,3000,8,0,18.100666666666665,0.8539410319828156,0.4358731210262272,0.9518360885742712,8,4.905999999995402,334.057472,True,
A,nfmcd_default,3000,8,1,17.889333333333333,0.872521330617301,0.4405973047190295,0.9581932389531482,8,5.125,336.011264,True,
A,nfmcd_default,10000,8,0,17.941,0.8579763770381048,0.4390592723119247,0.9534292242824653,8,14.171999999998661,732.516352,True,
A,nfmcd_default,10000,8,1,18.0006,0.8632654305415769,0.43708814086051134,0.9552510522710997,8,15.031000000002678,732.278784,True,
A,nfmcd_default,20000,8,0,18.0358,0.8600509574086398,0.437973042850628,0.9541968786682845,8,28.640999999995984,1269.059584,True,
A,nfmcd_robust,300,8,0,17.633333333333333,0.870245692393508,0.42227679289310716,0.9542608196136318,8,0.1879999999946449,219.140096,True,
A,nfmcd_robust,300,8,1,17.753333333333334,0.8723556617083812,0.43245838826358457,0.9554724494914368,8,0.20300000000133878,218.07104,True,
A,nfmcd_robust,300,8,2,17.7,0.8723662145438627,0.4372301843162707,0.9557164786599814,8,0.23500000000058208,219.406336,True,
A,nfmcd_robust,1000,8,0,18.092,0.8852191815794163,0.44212912395236004,0.9616746199744365,8,0.31199999999807915,227.75808,True,
A,nfmcd_robust,1000,8,1,18.052,0.8738143911893559,0.4355470500097485,0.9592478278412212,8,0.3280000000013388,228.16768,True,
A,nfmcd_robust,1000,8,2,18.024,0.8929902879179119,0.4344415994435786,0.9661935227212125,8,0.3280000000013388,227.524608,True,
A,nfmcd_robust,3000,8,0,18.100666666666665,0.8658982242158519,0.43588087425447886,0.9551209900885589,8,1.7819999999992433,308.932608,True,
A,nfmcd_robust,3000,8,1,17.889333333333333,0.8773910710588356,0.44063529303238336,0.9592842814708072,8,1.6560000000026776,310.19008,True,
A,nfmcd_robust,10000,8,0,17.941,0.8653249177819147,0.4390812758890959,0.9554054042399902,8,12.81300000000192,732.823552,True,
A,nfmcd_robust,10000,8,1,18.0006,0.8679020894410627,0.43709818185776705,0.9565272645495586,8,12.51600000000326,732.348416,True,
A,nfmcd_robust,20000,8,0,18.0358,0.8666534662320406,0.4380736158525316,0.9560130237214344,8,25.06199999999808,1268.690944,True,
A,louvain,300,8,0,17.633333333333333,0.8502939197734394,0.42226964597753724,0.9478270213623325,8,0.01600000000325963,208.6912,True,
A,louvain,300,8,1,17.753333333333334,0.8526455745785824,0.42873121589876656,0.9490560542775734,8,0.01599999999598367,208.523264,True,
A,louvain,300,8,2,17.7,0.8723662145438627,0.4372301843162707,0.9557164786599814,8,0.01600000000325963,207.847424,True,
A,louvain,1000,8,0,18.092,0.8753726250021201,0.44244985550307664,0.9588113641388606,8,0.0940000000045984,216.63744,True,
A,louvain,1000,8,1,18.052,0.8638772469297206,0.43634127551060237,0.955338482732736,8,0.10899999999674037,216.641536,True,
A,louvain,1000,8,2,18.024,0.8687238375111425,0.43409315271111615,0.958432241989495,8,0.11000000000058208,217.686016,True,
A,louvain,3000,8,0,18.100666666666665,0.74734502235466,0.42015746165620316,0.9056292947989076,7,0.2809999999954016,233.951232,True,
A,louvain,3000,8,1,17.889333333333333,0.6552364658615603,0.4096810115467085,0.8524980192557536,6,0.3280000000013388,234.63936,True,
A,louvain,10000,8,0,17.941,0.4350566123293087,0.3079743552836162,0.7367627112613081,8,2.5,334.843904,True,
A,louvain,10000,8,1,18.0006,0.44600559833757103,0.31014849549643153,0.7447418181825302,8,2.5159999999959837,333.14816,True,
A,louvain,20000,8,0,18.0358,0.38435923700125674,0.2872922848702938,0.7084432060251885,7,12.109000000004016,488.648704,True,
A,spectral_graph_content,300,8,0,17.633333333333333,0.7757130668487098,0.4001625923292155,0.9191006302010272,8,0.125,215.830528,True,
A,spectral_graph_content,300,8,1,17.753333333333334,0.7861153615294305,0.40426173671863025,0.9236687007748995,8,0.13999999999941792,215.867392,True,
A,spectral_graph_content,300,8,2,17.7,0.8166104398861953,0.4191355542078514,0.9363297959731219,8,0.125,216.24832,True,
A,spectral_graph_content,1000,8,0,18.092,0.8400361505277014,0.4297540590068331,0.9473246992663968,8,0.21899999999732245,243.326976,True,
A,spectral_graph_content,1000,8,1,18.052,0.8324258362471664,0.421661345030328,0.9447245797284601,8,0.1879999999946449,260.677632,True,
A,spectral_graph_content,1000,8,2,18.024,0.8720637618770957,0.42877646345780707,0.9593944569659046,8,0.2180000000007567,255.479808,True,
A,spectral_graph_content,3000,8,0,18.100666666666665,0.8437591296045666,0.4296321324414549,0.9477542703531694,8,0.9689999999973224,754.253824,True,
A,spectral_graph_content,3000,8,1,17.889333333333333,0.8622303180135138,0.43576145728447335,0.9547853157503888,8,1.0,753.537024,True,
A,spectral_graph_content,10000,8,0,17.941,0.8511673367292854,0.43356241741920787,0.9507080147723812,8,12.43800000000192,5983.997952,True,
A,spectral_graph_content,10000,8,1,18.0006,0.8502068658837121,0.4298641165442332,0.9505825434338953,8,12.031000000002678,5983.502336,True,
A,spectral_graph_content,20000,8,0,,,,,,,,False,memory_guard: dense n*n affinity alone would need ~3.2 GB (guard=2.0 GB)
B,nfmcd_default,1000,4,0,18.018,0.8377067858074807,0.5028903583682138,0.9593345038362048,4,1.1880000000019209,221.343744,True,
B,nfmcd_default,1000,4,1,17.954,0.8264357364694365,0.5000045727245555,0.9574540864792634,4,1.1719999999986612,222.150656,True,
B,nfmcd_default,1000,4,2,18.042,0.854333903260391,0.4947818550615881,0.9657447331566371,4,1.25,221.10208,True,
B,nfmcd_default,2000,8,0,17.999,0.8399790337788935,0.4324641736968794,0.9474670418589546,8,3.360000000000582,280.358912,True,
B,nfmcd_default,2000,8,1,17.856,0.8626804398063397,0.43914278591786865,0.9562575615557729,8,3.2969999999986612,277.700608,True,
B,nfmcd_default,2000,8,2,17.911,0.864735456284238,0.43843432325130466,0.9562037831307066,8,3.2340000000040163,279.98208,True,
B,nfmcd_default,4000,16,0,18.03,0.41573519465745634,0.22662268915214642,0.47670716657981416,16,8.046000000002095,379.78112,True,
B,nfmcd_default,4000,16,1,18.089,0.5252108161276758,0.22985021036259862,0.5301685797326792,16,7.8289999999979045,381.853696,True,
B,nfmcd_default,8000,32,0,17.92875,0.02288883270107256,0.058502891448240286,0.03544962684941681,32,15.60899999999674,625.078272,True,
B,nfmcd_default,8000,32,1,17.86025,0.02380263322004439,0.05760738911646614,0.019585733109029734,32,15.76600000000326,605.790208,True,
B,nfmcd_default,12500,50,0,17.94224,0.016812991454117965,0.04431891279062796,0.02719360166991108,50,29.860000000000582,939.073536,True,
B,nfmcd_robust,1000,4,0,18.018,0.8619752946594987,0.5028903583682138,0.9639355171739465,4,0.31300000000192085,227.004416,True,
B,nfmcd_robust,1000,4,1,17.954,0.8607773096975082,0.49991914281355887,0.9648361260150992,4,0.3280000000013388,227.827712,True,
B,nfmcd_robust,1000,4,2,18.042,0.8903193504652285,0.49543844788080915,0.972812431191348,4,0.3600000000005821,227.79904,True,
B,nfmcd_robust,2000,8,0,17.999,0.8607124318029149,0.43263213525999145,0.9533151708587545,8,0.8600000000005821,267.055104,True,
B,nfmcd_robust,2000,8,1,17.856,0.8787463078111676,0.43942779699011847,0.9602060510224848,8,0.8899999999994179,267.063296,True,
B,nfmcd_robust,2000,8,2,17.911,0.8750541141035661,0.4384901408359033,0.9590587505962754,8,0.8600000000005821,266.477568,True,
B,nfmcd_robust,4000,16,0,18.03,0.8622447976390326,0.30975432153965365,0.9464115384873739,16,3.25,352.124928,True,
B,nfmcd_robust,4000,16,1,18.089,0.8676303245233503,0.30908362443188614,0.9488681319331498,16,3.2189999999973224,352.763904,True,
B,nfmcd_robust,8000,32,0,17.92875,0.7560901100706122,0.17505915199036734,0.8674521553921719,32,12.43800000000192,584.953856,True,
B,nfmcd_robust,8000,32,1,17.86025,0.6761146391620317,0.16637962075266868,0.7605703787414215,32,12.906000000002678,592.367616,True,
B,nfmcd_robust,12500,50,0,17.94224,0.739128585283805,0.1130847355121905,0.8475469622784247,50,36.34399999999732,870.559744,True,
B,louvain,1000,4,0,18.018,0.8634142721990962,0.5027683617427208,0.9638997260417992,4,0.125,217.739264,True,
B,louvain,1000,4,1,17.954,0.8700535868562962,0.49888133908832333,0.9662170836119511,4,0.0940000000045984,218.202112,True,
B,louvain,1000,4,2,18.042,0.8933819213035036,0.49543844788080915,0.9732809961082058,4,0.07899999999790452,217.76384,True,
B,louvain,2000,8,0,17.999,0.8394330470762872,0.4296910646562857,0.9460946067037963,8,0.18800000000192085,227.069952,True,
B,louvain,2000,8,1,17.856,0.8580382988813042,0.4380835149435227,0.953695796924816,8,0.20299999999406282,226.213888,True,
B,louvain,2000,8,2,17.911,0.8571927902833403,0.4347963642875799,0.9532769385963099,8,0.1879999999946449,225.800192,True,
B,louvain,4000,16,0,18.03,0.017013490457083114,0.1298144642610501,0.21725213467271678,8,0.8280000000013388,244.26496,True,
B,louvain,4000,16,1,18.089,0.02973330347891734,0.12897407014092252,0.29471913623486296,6,0.7180000000007567,243.675136,True,
B,louvain,8000,32,0,17.92875,0.0,0.0650596732286547,0.08333578005872902,10,1.9839999999967404,313.40544,True,
B,louvain,8000,32,1,17.86025,0.0,0.06716144149697925,0.08310241032589802,10,2.8280000000013388,316.604416,True,
B,louvain,12500,50,0,17.94224,0.0,0.06232136995487056,0.05499188940636472,10,6.031999999999243,391.970816,True,
B,spectral_graph_content,1000,4,0,18.018,0.854624386771403,0.5006828681487356,0.9619583261698919,4,0.20300000000133878,255.639552,True,
B,spectral_graph_content,1000,4,1,17.954,0.8654871005989732,0.4977751244255724,0.9652515235005282,4,0.20299999999406282,255.205376,True,
B,spectral_graph_content,1000,4,2,18.042,0.8888329956491854,0.4945453612216533,0.9722989783439615,4,0.20300000000133878,240.717824,True,
B,spectral_graph_content,2000,8,0,17.999,0.8450631620592688,0.4259552514293093,0.9479759436476995,8,0.5,452.071424,True,
B,spectral_graph_content,2000,8,1,17.856,0.8625014620799805,0.4332077405283687,0.9551140233548283,8,0.5,451.899392,True,
B,spectral_graph_content,2000,8,2,17.911,0.8467368937228117,0.4294866785621364,0.9498691246051476,8,0.48399999999674037,451.600384,True,
B,spectral_graph_content,4000,16,0,18.03,0.8185458631328005,0.2958124842923715,0.9282839226732496,16,1.9539999999979045,1167.101952,True,
B,spectral_graph_content,4000,16,1,18.089,0.8317037263332523,0.2988076300099103,0.9340606752251357,16,1.9689999999973224,1166.999552,True,
B,spectral_graph_content,8000,32,0,17.92875,0.7501617195683142,0.15782808381046956,0.8699502477642437,32,10.187000000005355,3928.7808,True,
B,spectral_graph_content,8000,32,1,17.86025,0.7616972263336746,0.15880814298816479,0.8768706937065895,32,10.10899999999674,3929.411584,True,
B,spectral_graph_content,12500,50,0,17.94224,0.7585815514173531,0.1070794072619789,0.8690386892748541,50,26.812999999994645,9182.273536,True,
