setting,seed,method,onmi,modularity,f1,acc_all,acc_clean,acc_bad,auroc_agree,dprime,ovl,agree_mean,agree_sd,agree_gt08,alpha_mean,conf_mean,n_both,n_bad,eff_rank,n_comp,cv_corr,train_corr,cv_cos,train_cos,cv_cos_sd,cv_cos_gt08,note,error,secs
orig~crisismmd,1,nf|r2|c4,0.03856931593208568,0.0454079543153989,0.32084331920466297,0.35,,,,,,0.996995215406838,0.012079485453630719,0.99875,0.6805598953393541,0.7579427076276488,800,,384,4,,,,,,,,,3.94
orig~crisismmd,1,nf|r2|c8,0.20919136179377706,0.3380083465534582,0.34284628835728725,0.66125,,,,,,0.9976174825253704,0.0044907591153439475,1.0,0.6808790188114603,0.7583985983020861,800,,384,8,,,,,,,,,3.56
orig~crisismmd,1,nf|r2|c16,0.42495974935811565,0.46702813923384257,0.364249175497749,0.74125,,,,,,0.9969799772752694,0.0047136176169214165,1.0,0.6807194783908588,0.7581706834155127,800,,384,16,,,,,,,,,6.59
orig~crisismmd,1,nf|r4|c4,0.4169821906978213,0.28167927708777735,0.5975991508481248,0.68375,,,,,,0.8355396091215898,0.233189686073172,0.75875,0.5996199970735305,0.6423142815336153,800,,200,4,,,,,,,,,0.92
orig~crisismmd,1,nf|r4|c8,0.6290563695197424,0.5267513351527662,0.506950028298826,0.8425,,,,,,0.8465798549402025,0.14057504107119848,0.75875,0.6029959740553547,0.6471371057933639,800,,200,8,,,,,,,,,0.99
orig~crisismmd,1,nf|r4|c16,0.5029500882051018,0.5192970381411914,0.5867296164394782,0.865,,,,,,0.8328863451395574,0.11147882467704635,0.69875,0.5952267274121261,0.6360381820173231,800,,200,16,,,,,,,,,1.58
orig~crisismmd,1,nf|r8|c4,0.5493007524440897,0.36085416140131327,0.6388016806576531,0.73,,,,,,0.7209147428949985,0.3012651539476099,0.55375,0.5344024454904965,0.5491463507007094,800,,100,4,,,,,,,,,0.44
orig~crisismmd,1,nf|r8|c8,0.6811041178950346,0.5126408644583094,0.7558161828568621,0.90875,,,,,,0.7006905076665808,0.23293381120649367,0.4375,0.5120847656797691,0.5172639509710989,800,,100,8,,,,,,,,,0.49
orig~crisismmd,1,nf|r8|c16,0.6923164972375533,0.49039779442339515,0.7030857908862209,0.87375,,,,,,0.6701570688575452,0.17855743704343716,0.2675,0.48438832904024226,0.47769761291463175,800,,100,16,,,,,,,,,0.56
orig~crisismmd,1,nf|r16|c4,0.554933526983566,0.38631334170434745,0.6410028423955713,0.735,,,,,,0.6358618536525253,0.3753262384695749,0.47,0.4986388079313259,0.4980554399018942,800,,50,4,,,,,,,,,0.25
orig~crisismmd,1,nf|r16|c8,0.6957404851982161,0.4551391264471764,0.7011065207021936,0.81,,,,,,0.6131852084471169,0.282526178464697,0.3175,0.46439298431571685,0.4491328347367386,800,,50,8,,,,,,,,,0.36
orig~crisismmd,1,nf|r16|c16,0.7275649606996561,0.4462190094426395,0.6299177273975661,0.795,,,,,,0.549410441621902,0.22143619448164015,0.1125,0.411948272955946,0.3742118185084942,800,,50,16,,,,,,,,,0.42
orig~crisismmd,1,nf|r32|c4,0.5543257950517497,0.3862033314672663,0.6151202254470288,0.70125,,,,,,0.6016824805081074,0.39033752674052474,0.41375,0.4814854602722203,0.4735506575317433,800,,25,4,,,,,,,,,0.25
orig~crisismmd,1,nf|r32|c8,0.6962576785286774,0.45343209556929637,0.6988508051591379,0.82875,,,,,,0.549120814986925,0.30265339465267865,0.225,0.43028737490085683,0.40041053557265266,800,,25,8,,,,,,,,,0.3
orig~crisismmd,1,nf|r32|c16,0.7261274536278284,0.4387618675190581,0.6346834270020558,0.77125,,,,,,0.4456941443129886,0.24765685443340965,0.05125,0.3601731123792986,0.30024730339899797,800,,25,16,,,,,,,,,0.33
orig~crisismmd,1,nf|r64|c4,0.5801920411914524,0.37911448013772386,0.6220518493340721,0.6825,,,,,,0.5020658792017556,0.4569568477794907,0.3525,0.44630342839495024,0.4232906119927861,800,,12,4,,,,,,,,,0.3
orig~crisismmd,1,nf|r64|c8,0.7474493502684604,0.37819929704734534,0.6439932140765102,0.67125,,,,,,0.4420369258744587,0.3425360288798264,0.14875,0.38520810694391533,0.33601158134845055,800,,12,8,,,,,,,,,0.25
orig~crisismmd,1,nf|r64|c16,,,,,,,,,,,,,,,,,12,,,,,,,,skip:eff_rank<common_dim,,0.0
orig~crisismmd,1,rob|r4|c8,0.6742702079428772,0.518028772184927,0.7628441945680992,0.92875,,,,,,0.8465798549402025,0.14057504107119848,0.75875,0.6029959740553547,0.6471371057933639,800,,200,8,,,,,,,,,1.05
orig~crisismmd,1,rob|r16|c8,0.7097932583825237,0.4577152988615624,0.7067227870812722,0.82,,,,,,0.6131852084471169,0.282526178464697,0.3175,0.46439298431571685,0.4491328347367386,800,,50,8,,,,,,,,,0.42
orig~crisismmd,1,rob|r64|c8,0.7056086724682991,0.4565361246717421,0.6988995631247549,0.835,,,,,,0.4420369258744587,0.3425360288798264,0.14875,0.38520810694391533,0.33601158134845055,800,,12,8,,,,,,,,,0.27
orig~crisismmd,1,ac_self|r2,0.18985640717212893,0.3378240548271442,0.34530648203651565,0.66125,,,,,,0.9976174825253704,0.0044907591153439475,1.0,0.6808790188114601,0.7583985983020861,800,,384,8,,,,,,,alpha=0.681,,3.16
orig~crisismmd,1,ac_self|r4,0.5746839843259287,0.5167055952432402,0.7275437442610023,0.905,,,,,,0.8465798549402025,0.14057504107119848,0.75875,0.6029959740553547,0.6471371057933639,800,,200,8,,,,,,,alpha=0.603,,1.09
orig~crisismmd,1,ac_self|r16,0.6610381864529667,0.4470854943333745,0.688102469692927,0.80625,,,,,,0.6131852084471169,0.282526178464697,0.3175,0.464392984315717,0.4491328347367386,800,,50,8,,,,,,,alpha=0.464,,0.41
orig~crisismmd,1,ac_self|r64,0.7021724922687945,0.44146177268726333,0.7285361663399466,0.805,,,,,,0.4420369258744587,0.3425360288798264,0.14875,0.38520810694391544,0.33601158134845055,800,,12,8,,,,,,,alpha=0.385,,0.3
orig~crisismmd,1,ac_fixed|r2,0.2358740286453005,0.3300324893134855,0.2997072381466944,0.61375,,,,,,0.9976174825253704,0.0044907591153439475,1.0,0.6029959740553547,0.7583985983020861,800,,384,8,,,,,,,alpha=0.603,,2.62
orig~crisismmd,1,ac_fixed|r4,0.5746839843259287,0.5167055952432402,0.7275437442610023,0.905,,,,,,0.8465798549402025,0.14057504107119848,0.75875,0.6029959740553547,0.6471371057933639,800,,200,8,,,,,,,alpha=0.603,,0.03
orig~crisismmd,1,ac_fixed|r16,0.6801526303254057,0.43768642802512775,0.6913343757334679,0.83625,,,,,,0.6131852084471169,0.282526178464697,0.3175,0.6029959740553547,0.4491328347367386,800,,50,8,,,,,,,alpha=0.603,,0.36
orig~crisismmd,1,ac_fixed|r64,0.6752401350585744,0.519706977410269,0.7600215379683496,0.9225,,,,,,0.4420369258744587,0.3425360288798264,0.14875,0.6029959740553547,0.33601158134845055,800,,12,8,,,,,,,alpha=0.603,,0.34
orig~crisismmd,1,ref:alpha05,0.681917049938922,0.41602279962686467,0.6254190534356524,0.785,,,,,,,,,,,,,,,,,,,,,,,1.06
orig~crisismmd,1,ref:concat05,0.7052118547228354,0.4415394429687393,0.7022576189160485,0.79125,,,,,,,,,,,,,,,,,,,,,,,0.97
orig~crisismmd,1,ref:spectral,0.8788156780705653,0.5166905339443814,0.9560991920649711,0.96875,,,,,,,,,,,,,,,,,,,,,,,0.14
orig~crisismmd,1,ref:kmeans_content,0.4064742121714391,0.1989244266278576,0.5603964460777323,0.58125,,,,,,,,,,,,,,,,,,,,,,,0.25
orig~crisismmd,1,ref:louvain,0.5336043897656694,0.5348812150920406,0.6909389872845079,0.8925,,,,,,,,,,,,,,,,,,,,,,,0.09
orig~crisismmd,1,ref:structure_only,0.5491887431801526,0.516106322896425,0.7565386255900963,0.89375,,,,,,,,,,,,,,,,,,,,,,,0.05
orig~crisismmd,2,nf|r2|c4,0.03781263567311077,0.044331155120877166,0.2998745086931316,0.33,,,,,,0.9971873610781364,0.012681648170074016,0.99875,0.6806007601815665,0.7580010859736666,800,,384,4,,,,,,,,,4.11
orig~crisismmd,2,nf|r2|c8,0.1146265928225596,0.24094404890638027,0.2581370548488431,0.5425,,,,,,0.9977898434199232,0.006268808447817003,1.0,0.6808954691832274,0.7584220988331819,800,,384,8,,,,,,,,,3.55
