method,dataset,seed,k_used,modularity,onmi,f1,note,error,secs
var:default,fakeddit_real_lcc,0,6,0.5471847152793584,0.13624927109591334,0.29870584349690205,homophily=0.907 edges=9261,,2.88
var:default,fakeddit_real_lcc,1,6,0.5522990132665555,0.1421476531269955,0.27249832332118,homophily=0.907 edges=9261,,0.75
var:default,fakeddit_real_lcc,2,6,0.539708464837765,0.09889430041556457,0.22137966064493023,homophily=0.907 edges=9261,,0.64
var:default,crisismmd@r0.02,0,7,0.641266552737683,0.709720553143145,0.7691106355705715,homophily=0.927 edges=4884,,0.89
var:default,fakeddit_real_full,2,9,0.22188115790984209,0.04550175586536387,0.15271543051569647,homophily=0.887 edges=13108,,5.41
var:default,fakeddit_real_full,1,9,0.24079943492381636,0.044929254742191116,0.1457756014971586,homophily=0.887 edges=13108,,5.67
var:default,fakeddit_real_full,0,9,0.1406626863151124,0.027441981522099645,0.15075278928558083,homophily=0.887 edges=13108,,5.67
var:default,crisismmd@r0.02,1,7,0.4642692976638909,0.7495061627542517,0.7009353634415244,homophily=0.922 edges=4926,,0.86
var:default,crisismmd@r0.02,2,7,0.6428687838400666,0.6942578521435157,0.7603208662372991,homophily=0.928 edges=4900,,0.78
var:default,crisismmd@r0.1,0,7,0.2857291980094705,0.19570598775483172,0.2534768564284682,homophily=0.724 edges=4908,,0.78
var:default,crisismmd@r0.1,1,7,0.2500320468192068,0.15651332895553594,0.23161853084301123,homophily=0.715 edges=4924,,0.81
var:default,crisismmd@r0.1,2,7,0.2295192098558979,0.12351030246634032,0.24819829495579157,homophily=0.717 edges=4921,,0.77
var:default,crisismmd@r0.25,0,7,0.05728194396087069,0.057915009241260695,0.34620217927918995,homophily=0.506 edges=4943,,0.83
var:default,crisismmd@r0.25,2,7,0.08687040825386476,0.09467060406443739,0.34528397481455547,homophily=0.503 edges=4946,,0.81
var:default,crisismmd@r0.25,1,7,0.07837153844903365,0.08554032161618008,0.3213738325174664,homophily=0.500 edges=4979,,0.88
var:default,crisismmd@r0.5,0,7,0.025664886677189802,0.031155616546782783,0.16864766718624646,homophily=0.334 edges=4898,,0.8
var:default,crisismmd@r0.5,1,7,0.019419918181582698,0.06305169871105054,0.3079399682738094,homophily=0.330 edges=4908,,0.78
var:default,crisismmd@r0.5,2,7,0.029854730142278605,0.02379184404716106,0.2822150453925213,homophily=0.337 edges=4959,,0.78
var:default,crisismmd@r1.0,0,7,0.025636075914698526,0.04284360283833544,0.26195419143093474,homophily=0.198 edges=4881,,0.78
var:default,crisismmd@r1.0,1,7,0.004269162465853715,0.057849034433482216,0.30167715703872894,homophily=0.201 edges=4973,,0.75
var:default,crisismmd@r1.0,2,7,0.027224664754577715,0.0,0.263885859791159,homophily=0.205 edges=4982,,0.8
var:default,fakeddit@r0.02,0,10,0.31678816717331965,0.3197439068732103,0.30081760138924757,homophily=0.916 edges=12551,,2.36
var:default,fakeddit@r0.02,1,10,0.29054984294563785,0.2945286623048132,0.3755289557546337,homophily=0.915 edges=12522,,2.34
var:default,fakeddit@r0.02,2,10,0.3631865439659848,0.476610516362616,0.30163993719446414,homophily=0.913 edges=12513,,2.44
var:default,fakeddit@r0.1,0,10,0.29348531844103126,0.2118160900309961,0.18229511084428018,homophily=0.684 edges=12623,,2.41
var:default,fakeddit@r0.1,2,10,0.29097554427233113,0.17739385290408238,0.1738325439088338,homophily=0.679 edges=12516,,2.49
var:default,fakeddit@r0.1,1,10,0.29407726888932467,0.21630253048218828,0.1815667511771441,homophily=0.682 edges=12442,,2.59
var:default,fakeddit@r0.25,0,10,0.1597085846240807,0.11662928474680934,0.13621999577677413,homophily=0.467 edges=12589,,2.3
var:default,fakeddit@r0.25,1,10,0.15293420507737737,0.10501871252790895,0.1390845708223233,homophily=0.461 edges=12519,,2.25
var:default,fakeddit@r0.25,2,10,0.15383360251833245,0.16861789361802804,0.1952924142640618,homophily=0.460 edges=12618,,2.34
var:default,fakeddit@r0.5,1,10,0.02716592428897992,0.032046072270707215,0.21057464352683192,homophily=0.301 edges=12578,,2.33
var:default,fakeddit@r0.5,0,10,0.03738812180510845,0.03987877971278597,0.23830553383857955,homophily=0.306 edges=12621,,2.39
