group,dataset,seed,method,x,k_used,onmi,modularity,f1,auroc_agree,auroc_conf,error,secs
orig,crisismmd,0,nfmcd_robust,,7,0.7067088036285051,0.45831892225027016,0.7003090224252355,nan,nan,,2.67
orig,crisismmd,1,nfmcd_robust,,7,0.7097932583825237,0.4577152988615624,0.7067227870812722,nan,nan,,0.39
orig,crisismmd,1,nfmcd_default,,7,0.6290563695197424,0.5267513351527662,0.506950028298826,nan,nan,,3.09
orig,crisismmd,0,nfmcd_default,,7,0.590905302529789,0.5197824512523282,0.7572625076058666,nan,nan,,3.09
orig,crisismmd,2,nfmcd_default,,7,0.6076187149920035,0.5122659845460196,0.7379396383562477,nan,nan,,3.09
orig,crisismmd,2,nfmcd_robust,,7,0.7058647764506246,0.45700605811460737,0.6988240049654377,nan,nan,,0.42
orig,pheme,0,nfmcd_robust,,9,0.0,0.8602112070377169,0.2742479831933565,nan,nan,,0.34
orig,pheme,1,nfmcd_robust,,9,0.0,0.8397728013699661,0.28372327917185414,nan,nan,,0.44
orig,pheme,2,nfmcd_robust,,9,0.012365841865821459,0.8317326005132062,0.3082998102221146,nan,nan,,0.38
orig,pheme,0,nfmcd_default,,9,0.0,0.8651647650342359,0.24983831226709954,nan,nan,,3.11
orig,fakeddit,0,nfmcd_default,,10,0.32404460142087477,0.28399931936023204,0.26519627888330477,nan,nan,,2.76
orig,pheme,1,nfmcd_default,,9,0.0,0.8570915188206584,0.26870436471210807,nan,nan,,4.7
orig,fakeddit,0,nfmcd_robust,,10,0.8113488531490279,0.3942959636699764,0.8392229208185844,nan,nan,,0.91
orig,fakeddit,1,nfmcd_default,,10,0.3641407378164382,0.3173147611930934,0.19635999725760228,nan,nan,,2.69
orig,pheme,2,nfmcd_default,,9,0.015056576023737778,0.8543142336088391,0.2816022363559687,nan,nan,,6.25
orig,dblp,0,nfmcd_default,,8,0.6702689982017619,0.8475776772909762,0.7331002190599035,nan,nan,,0.09
orig,fakeddit,1,nfmcd_robust,,10,0.8506792410141415,0.3564787112686977,0.8487619277035814,nan,nan,,0.78
orig,dblp,1,nfmcd_default,,8,0.6702689982017619,0.8475776772909762,0.7331002190599035,nan,nan,,0.09
orig,dblp,2,nfmcd_default,,8,0.6702689982017619,0.8475776772909762,0.7331002190599034,nan,nan,,0.06
orig,fakeddit,2,nfmcd_robust,,10,0.8468286440980985,0.3514289405845578,0.8467300513295998,nan,nan,,0.7
orig,dblp,2,nfmcd_robust,,8,0.6702689982017619,0.8475776772909762,0.7331002190599035,nan,nan,,0.11
orig,fakeddit,2,nfmcd_default,,10,0.23679795396036396,0.29091205824468236,0.29866808636115544,nan,nan,,2.3
orig,dblp,1,nfmcd_robust,,8,0.6702689982017619,0.8475776772909762,0.7331002190599036,nan,nan,,0.17
orig,amazon,0,nfmcd_default,,4,0.5535487568737809,0.7172353714661406,0.7972215846095807,nan,nan,,0.03
orig,amazon,1,nfmcd_default,,4,0.5535487568737809,0.7172353714661406,0.7972215846095806,nan,nan,,0.02
orig,amazon,2,nfmcd_default,,4,0.5535487568737809,0.7172353714661406,0.7972215846095806,nan,nan,,0.03
orig,amazon,0,nfmcd_robust,,4,0.5535487568737809,0.7172353714661406,0.7972215846095806,nan,nan,,0.01
orig,amazon,1,nfmcd_robust,,4,0.5535487568737809,0.7172353714661406,0.7972215846095807,nan,nan,,0.01
orig,dblp,0,nfmcd_robust,,8,0.6702689982017619,0.8475776772909762,0.7331002190599035,nan,nan,,0.22
orig,amazon,2,nfmcd_robust,,4,0.5535487568737809,0.7172353714661406,0.7972215846095807,nan,nan,,0.02
orig,fakeddit_real_full,0,nfmcd_robust,,9,0.016202957163230503,0.7418049688422159,0.25823008635444494,nan,nan,,0.91
orig,fakeddit_real_full,1,nfmcd_robust,,9,0.031294836066197984,0.6685046188892559,0.17969562028986902,nan,nan,,0.91
orig,fakeddit_real_full,2,nfmcd_robust,,9,0.038339854585433764,0.686321127365259,0.20502474658852346,nan,nan,,0.86
orig,fakeddit_real_lcc,0,nfmcd_default,,6,0.13624927109591334,0.5471847152793584,0.29870584349690205,nan,nan,,0.59
orig,fakeddit_real_full,2,nfmcd_default,,9,0.04550175586536387,0.22188115790984209,0.15271543051569647,nan,nan,,3.33
orig,fakeddit_real_full,0,nfmcd_default,,9,0.027441981522099645,0.1406626863151124,0.15075278928558083,nan,nan,,3.38
orig,fakeddit_real_lcc,0,nfmcd_robust,,6,0.1954455469796429,0.7288552201165773,0.35139405265614915,nan,nan,,0.27
orig,fakeddit_real_full,1,nfmcd_default,,9,0.044929254742191116,0.24079943492381636,0.1457756014971586,nan,nan,,3.66
orig,fakeddit_real_lcc,1,nfmcd_default,,6,0.1421476531269955,0.5522990132665555,0.27249832332118,nan,nan,,0.53
orig,fakeddit_real_lcc,2,nfmcd_default,,6,0.09889430041556457,0.539708464837765,0.22137966064493023,nan,nan,,0.55
orig,fakeddit_real_lcc,1,nfmcd_robust,,6,0.19559573397441066,0.7245019977060639,0.35082438192583126,nan,nan,,0.28
orig,fakeddit_real_lcc,2,nfmcd_robust,,6,0.19480874474971133,0.7264733821878222,0.3509094249353258,nan,nan,,0.3
sweep,crisismmd,0,nfmcd_robust,0.02,7,0.8210123370201304,0.5618248148192866,0.7803494417977294,nan,nan,,0.36
sweep,crisismmd,0,nfmcd_default,0.02,7,0.709720553143145,0.641266552737683,0.7691106355705715,nan,nan,,0.86
