part,method,clusterer,n,k,seed,avg_degree,wall_generate_s,wall_fit_s,peak_rss_mb,success,error,stage_json
A,nfmcd_default,fcm,200,8,0,18.19,1.3590000000040163,0.14099999999598367,187.244544,True,,
A,nfmcd_default,fcm,200,8,1,18.6,1.3439999999973224,0.10900000000401633,187.179008,True,,
A,nfmcd_default,fcm,200,8,2,17.79,1.3439999999973224,0.125,187.359232,True,,
A,nfmcd_default,fcm,500,8,0,18.068,1.3439999999973224,0.5,200.556544,True,,
A,nfmcd_default,fcm,500,8,1,18.052,1.3439999999973224,0.43699999999807915,200.56064,True,,
A,nfmcd_default,fcm,500,8,2,18.256,1.3589999999967404,0.4370000000053551,200.114176,True,,
A,nfmcd_default,fcm,1000,8,0,18.092,1.375,1.2969999999986612,229.158912,True,,
A,nfmcd_default,fcm,1000,8,1,18.052,1.360000000000582,1.3280000000013388,228.999168,True,,
A,nfmcd_default,fcm,1000,8,2,18.024,1.389999999999418,1.5789999999979045,229.31456,True,,
A,nfmcd_default,fcm,2000,8,0,17.999,1.4219999999986612,3.4839999999967404,300.126208,True,,
A,nfmcd_default,fcm,2000,8,1,17.856,1.4219999999986612,3.2810000000026776,300.212224,True,,
A,nfmcd_default,fcm,2000,8,2,17.911,1.4060000000026776,3.264999999999418,300.064768,True,,
A,nfmcd_default,fcm,5000,8,0,18.022,1.610000000000582,6.25,465.678336,True,,
A,nfmcd_default,fcm,5000,8,1,18.0508,1.625,6.578000000001339,466.395136,True,,
A,nfmcd_default,fcm,10000,8,0,17.941,2.1410000000032596,11.375,819.458048,True,,
A,nfmcd_default,fcm,10000,8,1,18.0006,2.1710000000020955,12.203999999997905,819.494912,True,,
A,nfmcd_default,fcm,20000,8,0,18.0358,4.063000000001921,21.29699999999866,1442.418688,True,,
A,nfmcd_robust,fcm,200,8,0,18.19,1.3589999999967404,0.1870000000053551,189.31712,True,,
A,nfmcd_robust,fcm,200,8,1,18.6,1.3280000000013388,0.1569999999992433,189.382656,True,,
A,nfmcd_robust,fcm,200,8,2,17.79,1.3439999999973224,0.15600000000267755,189.444096,True,,
A,nfmcd_robust,fcm,500,8,0,18.068,1.3430000000007567,0.3289999999979045,202.366976,True,,
A,nfmcd_robust,fcm,500,8,1,18.052,1.375,0.35900000000401633,203.014144,True,,
A,nfmcd_robust,fcm,500,8,2,18.256,1.360000000000582,0.35899999999674037,203.0592,True,,
A,nfmcd_robust,fcm,1000,8,0,18.092,1.3589999999967404,0.5469999999986612,224.976896,True,,
A,nfmcd_robust,fcm,1000,8,1,18.052,1.3590000000040163,0.5159999999959837,225.652736,True,,
A,nfmcd_robust,fcm,1000,8,2,18.024,1.375,0.5469999999986612,226.03776,True,,
A,nfmcd_robust,fcm,2000,8,0,17.999,1.4369999999980791,1.3130000000019209,268.836864,True,,
A,nfmcd_robust,fcm,2000,8,1,17.856,1.4369999999980791,1.2660000000032596,269.082624,True,,
A,nfmcd_robust,fcm,2000,8,2,17.911,1.4210000000020955,1.2819999999992433,268.197888,True,,
A,nfmcd_robust,fcm,5000,8,0,18.022,1.625,4.406999999999243,419.71712,True,,
A,nfmcd_robust,fcm,5000,8,1,18.0508,1.6090000000040163,4.3439999999973224,420.1472,True,,
