method,dataset,seed,k_used,modularity,onmi,f1,error,secs
nfmcd_default,crisismmd,2,7,0.5122659845460196,0.6076187149920035,0.7379396383562477,,3.3
nfmcd_default,crisismmd,0,7,0.5197824512523282,0.590905302529789,0.7572625076058666,,3.44
nfmcd_default,crisismmd,3,7,0.5095026545748423,0.5855930682968469,0.7494472460750561,,3.73
nfmcd_default,crisismmd,1,7,0.5267513351527662,0.6290563695197424,0.506950028298826,,4.0
nfmcd_default,crisismmd,4,7,0.5220553476794157,0.5493116525858651,0.5155024205275461,,1.19
nfmcd_default,crisismmd,5,7,0.5095641967154569,0.6089727393588229,0.7489458490341979,,1.5
nfmcd_default,crisismmd,7,7,0.5166190973671553,0.5138334344360902,0.6021489755799222,,1.22
nfmcd_default,crisismmd,6,7,0.5100494424788288,0.5625214801819296,0.7396511739079277,,1.48
nfmcd_default,crisismmd,8,7,0.5045505413470097,0.6048862475235035,0.748926558391082,,1.11
nfmcd_default,crisismmd,9,7,0.5215785111412402,0.5302556168605832,0.6335181813800236,,1.55
nfmcd_default,crisismmd,12,7,0.5015406244439609,0.6131625390324903,0.7559199239379272,,1.19
nfmcd_default,crisismmd,10,7,0.5018934981251402,0.5396692506324922,0.6350065614878186,,1.75
nfmcd_default,crisismmd,11,7,0.5150360502647421,0.574071926020886,0.6378277825919862,,1.84
nfmcd_default,crisismmd,14,7,0.5230310060684065,0.5768230722968073,0.6219388452076186,,1.02
nfmcd_default,crisismmd,13,7,0.5029142776552954,0.5884094485471227,0.7453356601144118,,2.25
nfmcd_default,crisismmd,17,7,0.5033083188866889,0.5996360362445946,0.7457646945143213,,1.05
nfmcd_default,crisismmd,15,7,0.5079056339340435,0.5815606542720456,0.7398830655941337,,2.14
nfmcd_default,crisismmd,16,7,0.5177183002437294,0.5699240482479797,0.6290409144820047,,2.08
nfmcd_robust,crisismmd,0,7,0.45831892225027016,0.7067088036285051,0.7003090224252355,,0.75
nfmcd_robust,crisismmd,1,7,0.4577152988615624,0.7097932583825237,0.7067227870812722,,0.76
nfmcd_default,crisismmd,18,7,0.5091906137483468,0.5870772450600737,0.74516293792669,,1.47
nfmcd_robust,crisismmd,2,7,0.45700605811460737,0.7058647764506246,0.6988240049654377,,0.34
nfmcd_default,crisismmd,19,7,0.5110084497651923,0.5992709409275734,0.7326640109854587,,1.39
nfmcd_robust,crisismmd,5,7,0.4573435985568096,0.7122482950531146,0.7070940515621915,,0.28
nfmcd_robust,crisismmd,3,7,0.45811609675897164,0.7069023255925849,0.7000378120628454,,0.53
nfmcd_robust,crisismmd,4,7,0.45877120050391756,0.7082047107159026,0.701469776328792,,0.52
nfmcd_robust,crisismmd,7,7,0.45783599843713924,0.7114684629251421,0.7071762239522219,,0.36
nfmcd_robust,crisismmd,8,7,0.4586628637444874,0.7060615688110108,0.6995967879981739,,0.42
nfmcd_robust,crisismmd,10,7,0.4452308627266783,0.7033607187743602,0.7004054311947625,,0.27
nfmcd_robust,crisismmd,9,7,0.4586376569873696,0.7039559282215646,0.6982339001161463,,0.42
nfmcd_robust,crisismmd,6,7,0.45946548454436703,0.7091302822734884,0.7014017174521238,,0.92
nfmcd_robust,crisismmd,11,7,0.4584340993495987,0.7105399749429322,0.7011828456187142,,0.5
nfmcd_robust,crisismmd,12,7,0.4598546099351607,0.7043644324253255,0.6987391637125197,,0.36
nfmcd_robust,crisismmd,14,7,0.4586628637444874,0.7047597876603525,0.6992493148457768,,0.38
nfmcd_robust,crisismmd,13,7,0.45955687734258105,0.709315888749239,0.70112301167791,,0.47
nfmcd_robust,crisismmd,16,7,0.45811609675897164,0.7082041067432432,0.7003852852152426,,0.34
nfmcd_robust,crisismmd,15,7,0.4583440871704468,0.7037222385183923,0.698035507748369,,0.39
nfmcd_robust,crisismmd,17,7,0.4582743868262835,0.7043708362200675,0.6998213219626787,,0.34
nfmcd_robust,crisismmd,18,7,0.4589413095071395,0.7069849486095212,0.6999264804238851,,0.33
spectral_graph+content,crisismmd,2,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.14
spectral_graph+content,crisismmd,1,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.19
spectral_graph+content,crisismmd,0,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.25
nfmcd_robust,crisismmd,19,7,0.45955095741539076,0.7047597876603525,0.6992493148457768,,0.33
spectral_graph+content,crisismmd,6,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.14
spectral_graph+content,crisismmd,3,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.27
spectral_graph+content,crisismmd,5,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.3
spectral_graph+content,crisismmd,4,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.31
spectral_graph+content,crisismmd,7,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.12
spectral_graph+content,crisismmd,11,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.14
spectral_graph+content,crisismmd,8,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.28
spectral_graph+content,crisismmd,12,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.12
spectral_graph+content,crisismmd,9,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.33
spectral_graph+content,crisismmd,10,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.34
spectral_graph+content,crisismmd,14,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.14
spectral_graph+content,crisismmd,13,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.33
spectral_graph+content,crisismmd,15,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.28
spectral_graph+content,crisismmd,16,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.28
spectral_graph+content,crisismmd,17,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.22
spectral_graph+content,crisismmd,18,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.28
spectral_graph+content,crisismmd,19,7,0.5166905339443814,0.8788156780705653,0.9560991920649711,,0.28
kmeans_content,crisismmd,1,7,0.1989244266278576,0.4064742121714391,0.5603964460777323,,0.53
kmeans_content,crisismmd,0,7,0.20111718439393395,0.3943730374016603,0.5610033449335877,,0.69
kmeans_content,crisismmd,2,7,0.21987580201939383,0.4209784745470222,0.6037258915449902,,0.5
kmeans_content,crisismmd,3,7,0.2176557456491359,0.39539755295434365,0.560833380147607,,0.64
kmeans_content,crisismmd,4,7,0.20297622979793467,0.40571927522390316,0.5688073273898056,,0.42
kmeans_content,crisismmd,6,7,0.18147969814312173,0.38411716032085164,0.5367964523806475,,0.38
kmeans_content,crisismmd,5,7,0.22297221679852763,0.4222733453405112,0.581190625067542,,0.61
kmeans_content,crisismmd,8,7,0.20651655544246098,0.40843054337295515,0.5717634103706631,,0.44
kmeans_content,crisismmd,9,7,0.20735540703348432,0.4081257276586727,0.5758486212998458,,0.42
kmeans_content,crisismmd,7,7,0.22366945034333693,0.4157886387197043,0.588192112106063,,0.61
kmeans_content,crisismmd,11,7,0.20427135507049715,0.40669604375060153,0.5888485135845863,,0.33
kmeans_content,crisismmd,10,7,0.15541994854809288,0.33803152037443795,0.5193679214583697,,0.72
kmeans_content,crisismmd,14,7,0.21632999573556055,0.42296496471674216,0.5947850601675897,,0.39
kmeans_content,crisismmd,13,7,0.21587685982461702,0.407979343692765,0.5762002819925973,,0.72
kmeans_content,crisismmd,12,7,0.1983489385821569,0.40173998890395557,0.5622569209974934,,0.88
kmeans_content,crisismmd,15,7,0.21048102399762766,0.4050526358105744,0.569948540600092,,0.42
kmeans_content,crisismmd,17,7,0.20838547436460247,0.41727564853506294,0.5838789241189888,,0.34
kmeans_content,crisismmd,16,7,0.23138426598822767,0.41951936205229146,0.5872943966056944,,0.69
kmeans_content,crisismmd,19,7,0.2199651238890148,0.42552806216382044,0.5950886779322376,,0.36
kmeans_content,crisismmd,18,7,0.18657552126423205,0.39140906338412607,0.5500198397915538,,0.58
nfmcd_default,fakeddit,3,10,0.3195768640602473,0.3501160255023281,0.2870567131526025,,2.92
nfmcd_default,fakeddit,1,10,0.3173147611930934,0.3641407378164382,0.19635999725760228,,3.91
nfmcd_default,fakeddit,2,10,0.29091205824468236,0.23679795396036396,0.29866808636115544,,4.22
nfmcd_default,fakeddit,0,10,0.28399931936023204,0.32404460142087477,0.26519627888330477,,5.05
nfmcd_default,fakeddit,4,10,0.27454104227414206,0.30428928501697006,0.20571064782817766,,4.33
nfmcd_default,fakeddit,5,10,0.2865008890125965,0.334235873942615,0.2683516732964851,,3.55
nfmcd_default,fakeddit,6,10,0.2841797898059995,0.365300671091945,0.26637060973608134,,3.58
nfmcd_default,fakeddit,7,10,0.4076567584689672,0.38196326265026537,0.26056710467730787,,3.7
nfmcd_default,fakeddit,8,10,0.28145868000159335,0.3636293362590375,0.26211288867155924,,3.61
nfmcd_default,fakeddit,11,10,0.2800524986516874,0.32094027751943954,0.2669271971508836,,2.94
nfmcd_default,fakeddit,10,10,0.28141023942658794,0.32901382053563477,0.2794831416092214,,3.83
