dataset,variant,threshold,seed,onmi,f1,mean_max_membership
crisismmd,default,0.1,0,0.3612518799840807,0.4882731209041589,0.36204073272672005
crisismmd,default,0.1,1,0.21274569303174062,0.3551539012625763,0.24723128503453615
crisismmd,default,0.1,2,0.3404191906273859,0.4973179924295346,0.37081014230103615
crisismmd,default,0.15,0,0.5625301588789438,0.6318833767073829,0.36204073272672005
crisismmd,default,0.15,1,0.4302475793866445,0.49468603238470116,0.24723128503453615
crisismmd,default,0.15,2,0.5662429645167016,0.6337724160735966,0.37081014230103615
crisismmd,default,0.2,0,0.590905302529789,0.7572625076058666,0.36204073272672005
crisismmd,default,0.2,1,0.6290563695197424,0.506950028298826,0.24723128503453615
crisismmd,default,0.2,2,0.6076187149920035,0.7379396383562477,0.37081014230103615
crisismmd,default,0.25,0,0.5987296738513683,0.7537664816152095,0.36204073272672005
crisismmd,default,0.25,1,0.6290563695197424,0.506950028298826,0.24723128503453615
crisismmd,default,0.25,2,0.5211967277007524,0.6968736819297445,0.37081014230103615
crisismmd,default,0.3,0,0.5987296738513683,0.7537664816152095,0.36204073272672005
crisismmd,default,0.3,1,0.6290563695197424,0.506950028298826,0.24723128503453615
crisismmd,default,0.3,2,0.5211967277007523,0.6975168828524051,0.37081014230103615
crisismmd,default,0.35,0,0.5987296738513683,0.7537664816152095,0.36204073272672005
crisismmd,default,0.35,1,0.6290563695197424,0.506950028298826,0.24723128503453615
crisismmd,default,0.35,2,0.5211967277007523,0.6975168828524051,0.37081014230103615
crisismmd,default,0.4,0,0.5987296738513683,0.7537664816152095,0.36204073272672005
crisismmd,default,0.4,1,0.6290563695197424,0.506950028298826,0.24723128503453615
crisismmd,default,0.4,2,0.5211967277007523,0.6975168828524051,0.37081014230103615
crisismmd,robust,0.1,0,0.493520058538917,0.5691441174069299,0.4969224912117024
crisismmd,robust,0.1,1,0.50547124370631,0.5757961817068583,0.4970987340342605
crisismmd,robust,0.1,2,0.49508096898201526,0.5702428022558113,0.4975497065950577
crisismmd,robust,0.15,0,0.6763346403755092,0.6496120286848887,0.4969224912117024
crisismmd,robust,0.15,1,0.6819416259611402,0.6545205152500243,0.4970987340342605
crisismmd,robust,0.15,2,0.6810099006733901,0.6515884887618215,0.4975497065950577
crisismmd,robust,0.2,0,0.7067088036285051,0.7003090224252355,0.4969224912117024
crisismmd,robust,0.2,1,0.7097932583825237,0.7067227870812722,0.4970987340342605
crisismmd,robust,0.2,2,0.7058647764506246,0.6988240049654377,0.4975497065950577
crisismmd,robust,0.25,0,0.7113950823389281,0.7176961181291249,0.4969224912117024
crisismmd,robust,0.25,1,0.710408248066486,0.7193337259024014,0.4970987340342605
crisismmd,robust,0.25,2,0.7100376028827272,0.7177783616467407,0.4975497065950577
crisismmd,robust,0.3,0,0.6558013987880019,0.691880681379028,0.4969224912117024
crisismmd,robust,0.3,1,0.7174202824003808,0.7570724261246033,0.4970987340342605
crisismmd,robust,0.3,2,0.6523985405976499,0.6920362363838228,0.4975497065950577
crisismmd,robust,0.35,0,0.6249233134411658,0.6713600934691365,0.4969224912117024
crisismmd,robust,0.35,1,0.6898205703807092,0.7499492501619268,0.4970987340342605
crisismmd,robust,0.35,2,0.6267088370332634,0.6667443352756012,0.4975497065950577
crisismmd,robust,0.4,0,0.585531065959603,0.6540537694006091,0.4969224912117024
crisismmd,robust,0.4,1,0.6530023379395078,0.733285149659921,0.4970987340342605
crisismmd,robust,0.4,2,0.5838698027724134,0.6490811491339079,0.4975497065950577
pheme,default,0.1,0,0.02043272640723537,0.23643215813653823,0.41469564717264457
pheme,default,0.1,1,0.03733500233129927,0.25789086241432085,0.3977188361309434
pheme,default,0.1,2,0.05178329604973042,0.24849234473406204,0.408388213609886
pheme,default,0.15,0,0.023686798669442566,0.24655260063543644,0.41469564717264457
pheme,default,0.15,1,0.014264771800142295,0.2535224653901803,0.3977188361309434
pheme,default,0.15,2,0.0,0.22959248926457518,0.408388213609886
pheme,default,0.2,0,0.0,0.24983831226709954,0.41469564717264457
pheme,default,0.2,1,0.0,0.26870436471210807,0.3977188361309434
pheme,default,0.2,2,0.015056576023737778,0.2816022363559687,0.408388213609886
pheme,default,0.25,0,0.0,0.24993057975314606,0.41469564717264457
pheme,default,0.25,1,0.0,0.28271272174950923,0.3977188361309434
pheme,default,0.25,2,0.03856524998310895,0.2898142394034515,0.408388213609886
pheme,default,0.3,0,0.0,0.216179577657748,0.41469564717264457
pheme,default,0.3,1,0.0,0.23511229853981586,0.3977188361309434
pheme,default,0.3,2,0.03856524998310895,0.23590576548077202,0.408388213609886
pheme,default,0.35,0,0.0,0.21633640713140517,0.41469564717264457
pheme,default,0.35,1,0.0,0.2344550894901933,0.3977188361309434
pheme,default,0.35,2,0.03856524998310895,0.23590576548077202,0.408388213609886
pheme,default,0.4,0,0.0,0.21633640713140517,0.41469564717264457
pheme,default,0.4,1,0.0,0.2344550894901933,0.3977188361309434
pheme,default,0.4,2,0.03856524998310895,0.23590576548077202,0.408388213609886
pheme,robust,0.1,0,0.019905004991934927,0.23926414154782188,0.3897712483312025
pheme,robust,0.1,1,0.03213876696377138,0.2564582519482913,0.36498832826529687
pheme,robust,0.1,2,0.03223682359687019,0.23096325185146224,0.36089599739740275
pheme,robust,0.15,0,0.026252253104989576,0.25098218302567427,0.3897712483312025
pheme,robust,0.15,1,0.039823025182847416,0.2645739538183849,0.36498832826529687
pheme,robust,0.15,2,0.011927011127085274,0.2422258083428796,0.36089599739740275
pheme,robust,0.2,0,0.0,0.2742479831933565,0.3897712483312025
pheme,robust,0.2,1,0.0,0.28372327917185414,0.36498832826529687
pheme,robust,0.2,2,0.012365841865821459,0.3082998102221146,0.36089599739740275
pheme,robust,0.25,0,0.0,0.2706870989153328,0.3897712483312025
pheme,robust,0.25,1,0.0,0.28995984871045577,0.36498832826529687
pheme,robust,0.25,2,0.01323715303433981,0.22670101680476926,0.36089599739740275
pheme,robust,0.3,0,0.0,0.2164977640203706,0.3897712483312025
pheme,robust,0.3,1,0.0,0.23606629659462713,0.36498832826529687
pheme,robust,0.3,2,0.01323715303433981,0.22760085234049232,0.36089599739740275
pheme,robust,0.35,0,0.0,0.21665459349402774,0.3897712483312025
pheme,robust,0.35,1,0.0,0.23614419114142648,0.36498832826529687
pheme,robust,0.35,2,0.01323715303433981,0.22760085234049232,0.36089599739740275
pheme,robust,0.4,0,0.0,0.21665459349402774,0.3897712483312025
pheme,robust,0.4,1,0.0,0.23614419114142648,0.36498832826529687
pheme,robust,0.4,2,0.01323715303433981,0.22760085234049232,0.36089599739740275
fakeddit,default,0.1,0,0.3272382069067057,0.3441821363445175,0.19412292607555293
fakeddit,default,0.1,1,0.28982108719734245,0.2575253577095947,0.14865793896925447
fakeddit,default,0.1,2,0.3575904140798212,0.32693987362680554,0.18425760606511937
fakeddit,default,0.15,0,0.3514063021821019,0.26820947447802135,0.19412292607555293
fakeddit,default,0.15,1,0.46378212291552834,0.2079613832224537,0.14865793896925447
fakeddit,default,0.15,2,0.3207192898111073,0.2931309800507257,0.18425760606511937
fakeddit,default,0.2,0,0.32404460142087477,0.26519627888330477,0.19412292607555293
fakeddit,default,0.2,1,0.3641407378164382,0.19635999725760228,0.14865793896925447
fakeddit,default,0.2,2,0.25994438319349245,0.2809821995728965,0.18425760606511937
fakeddit,default,0.25,0,0.2922693680337286,0.2575178668076804,0.19412292607555293
fakeddit,default,0.25,1,0.30589518858437126,0.19386436026036125,0.14865793896925447
fakeddit,default,0.25,2,0.2333390196251831,0.2819066539865163,0.18425760606511937
fakeddit,default,0.3,0,0.2718479572389456,0.24915715091356333,0.19412292607555293
fakeddit,default,0.3,1,0.2709418705138098,0.19412517055051268,0.14865793896925447
fakeddit,default,0.3,2,0.21558146443187554,0.28281893943049524,0.18425760606511937
fakeddit,default,0.35,0,0.2591805585310998,0.24069139012744328,0.19412292607555293
fakeddit,default,0.35,1,0.2709418705138098,0.19412517055051268,0.14865793896925447
fakeddit,default,0.35,2,0.21558146443187554,0.28281893943049524,0.18425760606511937
fakeddit,default,0.4,0,0.25337769497183005,0.23965321855211502,0.19412292607555293
fakeddit,default,0.4,1,0.2709418705138098,0.19412517055051268,0.14865793896925447
fakeddit,default,0.4,2,0.21558146443187554,0.28281893943049524,0.18425760606511937
fakeddit,robust,0.1,0,0.7083362175087276,0.7621633272680814,0.7735962783726933
fakeddit,robust,0.1,1,0.7195040890923321,0.7484528572491098,0.6821937340428861
fakeddit,robust,0.1,2,0.721776394715147,0.7504916889383454,0.6828554688338934
fakeddit,robust,0.15,0,0.7969094528823155,0.8232318400805226,0.7735962783726933
fakeddit,robust,0.15,1,0.8223155652345552,0.8280692677086703,0.6821937340428861
fakeddit,robust,0.15,2,0.8268554700451396,0.829599669628629,0.6828554688338934
fakeddit,robust,0.2,0,0.8113488531490279,0.8392229208185844,0.7735962783726933
fakeddit,robust,0.2,1,0.8506792410141415,0.8487619277035814,0.6821937340428861
fakeddit,robust,0.2,2,0.8468286440980985,0.8467300513295998,0.6828554688338934
fakeddit,robust,0.25,0,0.8167971185657695,0.8468917041701642,0.7735962783726933
fakeddit,robust,0.25,1,0.8582893253106019,0.8558929854647529,0.6821937340428861
fakeddit,robust,0.25,2,0.8585288484612679,0.8562823198780993,0.6828554688338934
fakeddit,robust,0.3,0,0.8145886873412,0.8485261720982322,0.7735962783726933
fakeddit,robust,0.3,1,0.8576924673371745,0.8584411925889184,0.6821937340428861
fakeddit,robust,0.3,2,0.8573306510072186,0.8574930059833796,0.6828554688338934
fakeddit,robust,0.35,0,0.808058617637911,0.8458299270007087,0.7735962783726933
fakeddit,robust,0.35,1,0.8519893827387433,0.8576759740913673,0.6821937340428861
fakeddit,robust,0.35,2,0.854525421408723,0.8578330873914414,0.6828554688338934
fakeddit,robust,0.4,0,0.7998647004100852,0.8414042859480484,0.7735962783726933
fakeddit,robust,0.4,1,0.8457599842584855,0.8565061009978002,0.6821937340428861
fakeddit,robust,0.4,2,0.8485364260105048,0.8567997952867208,0.6828554688338934
dblp,default,0.1,0,0.5189119965635782,0.6997271710058152,0.9325596433591274
dblp,default,0.1,1,0.5189119965635782,0.6997271710058153,0.9325591006745034
dblp,default,0.1,2,0.5189119965635782,0.6997271710058153,0.9325595152434858
dblp,default,0.15,0,0.662638406542555,0.7263288645874408,0.9325596433591274
dblp,default,0.15,1,0.662638406542555,0.7263288645874408,0.9325591006745034
dblp,default,0.15,2,0.662638406542555,0.7263288645874408,0.9325595152434858
dblp,default,0.2,0,0.6702689982017619,0.7331002190599035,0.9325596433591274
dblp,default,0.2,1,0.6702689982017619,0.7331002190599035,0.9325591006745034
dblp,default,0.2,2,0.6702689982017619,0.7331002190599034,0.9325595152434858
dblp,default,0.25,0,0.6689339557997395,0.7319078914535821,0.9325596433591274
dblp,default,0.25,1,0.6689339557997395,0.7319078914535821,0.9325591006745034
dblp,default,0.25,2,0.6689339557997395,0.7319078914535821,0.9325595152434858
dblp,default,0.3,0,0.671801895269439,0.7323306456793213,0.9325596433591274
dblp,default,0.3,1,0.671801895269439,0.7323306456793212,0.9325591006745034
dblp,default,0.3,2,0.671801895269439,0.7323306456793213,0.9325595152434858
dblp,default,0.35,0,0.6754003340215098,0.7333746204252276,0.9325596433591274
dblp,default,0.35,1,0.6754003340215098,0.7333746204252276,0.9325591006745034
dblp,default,0.35,2,0.6754003340215098,0.7333746204252276,0.9325595152434858
dblp,default,0.4,0,0.6718737146918623,0.7319409411514703,0.9325596433591274
dblp,default,0.4,1,0.6718737146918623,0.7319409411514703,0.9325591006745034
dblp,default,0.4,2,0.6718737146918623,0.7319409411514703,0.9325595152434858
dblp,robust,0.1,0,0.5196192350851829,0.7002887641088448,0.9325613497811286
dblp,robust,0.1,1,0.5196192350851829,0.7002887641088448,0.9325613539488821
dblp,robust,0.1,2,0.5196192350851829,0.7002887641088448,0.9325613497811295
dblp,robust,0.15,0,0.662638406542555,0.7263288645874408,0.9325613497811286
dblp,robust,0.15,1,0.662638406542555,0.7263288645874408,0.9325613539488821
dblp,robust,0.15,2,0.662638406542555,0.7263288645874408,0.9325613497811295
dblp,robust,0.2,0,0.6702689982017619,0.7331002190599035,0.9325613497811286
dblp,robust,0.2,1,0.6702689982017619,0.7331002190599036,0.9325613539488821
dblp,robust,0.2,2,0.6702689982017619,0.7331002190599035,0.9325613497811295
dblp,robust,0.25,0,0.6689339557997395,0.7319078914535821,0.9325613497811286
dblp,robust,0.25,1,0.6689339557997395,0.7319078914535821,0.9325613539488821
dblp,robust,0.25,2,0.6689339557997395,0.7319078914535821,0.9325613497811295
dblp,robust,0.3,0,0.671801895269439,0.7323306456793213,0.9325613497811286
