dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
crisismmd,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5122659845460196,0.6076187149920035,0.7379396383562477,,7.33
crisismmd,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5267513351527662,0.6290563695197424,0.506950028298826,,7.41
crisismmd,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5197824512523282,0.590905302529789,0.7572625076058666,,7.53
pheme,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8651647650342359,0.0,0.24983831226709954,,9.53
dblp,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
dblp,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8475776772909762,0.6702689982017619,0.7331002190599035,,0.11
dblp,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8475776772909762,0.6702689982017619,0.7331002190599034,,0.14
amazon,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7172353714661406,0.5535487568737809,0.7972215846095807,,0.06
amazon,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.02
amazon,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7172353714661406,0.5535487568737809,0.7972215846095806,,0.03
fakeddit,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.29091205824468236,0.23679795396036396,0.29866808636115544,,3.55
fakeddit,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.28399931936023204,0.32404460142087477,0.26519627888330477,,3.77
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3714915802528131,0.5719958489755897,0.6263063651124648,,1.3
fakeddit,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.3173147611930934,0.3641407378164382,0.19635999725760228,,4.0
pheme,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8570915188206584,0.0,0.26870436471210807,,11.55
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3750542886609213,0.5629668220506421,0.6376535301595447,,1.03
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3644894987394739,0.5506819274100381,0.6149051371143522,,1.11
pheme,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8543142336088391,0.015056576023737778,0.2816022363559687,,13.72
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8738967055254492,0.0,0.244892062802347,,2.45
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8476222480497352,0.6747589549181847,0.7336848796640583,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8476222480497352,0.6747589549181847,0.7336848796640583,,0.08
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8316578779927107,0.580829091827785,0.6842486186638308,,0.09
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7180900723208414,0.535887821000959,0.7513584402324021,,0.03
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7180900723208414,0.535887821000959,0.7513584402324021,,0.02
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7021729125575279,0.4745067193291904,0.7222430977112624,,0.03
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.37560883731751404,0.60286598482429,0.6431206998951176,,1.16
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8793817921854222,0.012546497684847724,0.2494193273775462,,3.7
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.2941918368190173,0.5443623017454058,0.575722954402504,,3.36
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.2755947075958013,0.6033403478253354,0.6554406343090604,,3.72
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3602569181461499,0.5947151841933928,0.6438013979680306,,1.08
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3737034575010519,0.6107714413297108,0.6508688194156357,,1.28
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.30681724775725205,0.6752449276068699,0.6873690282816078,,3.27
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8584900455288305,0.01185108396776724,0.25245677131685296,,6.2
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8755172557247393,0.012568242658416051,0.24406164370913722,,3.05
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8476222480497352,0.6806414427965821,0.7359689186931792,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8476222480497352,0.6806414427965821,0.7359689186931792,,0.09
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8316633676462822,0.5757795830174375,0.6790553692828267,,0.27
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7180900723208414,0.535887821000959,0.7513584402324021,,0.02
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7180900723208414,0.535887821000959,0.7513584402324021,,0.03
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7021729125575279,0.4745067193291904,0.7222430977112624,,0.02
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8742463372024922,0.012861962632682689,0.24744118342268973,,3.0
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3573458410168619,0.2953303079748204,0.3116321810723247,,1.14
