dataset,seed,phase,param,cfg,m,alpha_min,alpha_max,sd_mult,common_dim,anfis,modularity,onmi,f1,error,secs
crisismmd,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5197824512523282,0.5232208021998286,0.6853089029478605,,4.19
crisismmd,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5122659845460196,0.6022787435753074,0.7011208331946015,,4.19
crisismmd,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.5267513351527662,0.5488101102204395,0.27405835821677405,,4.3
pheme,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8651647650342359,0.0,0.28702009910060355,,6.45
dblp,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7788480378917624,0.7261913718518531,0.7399602836033007,,0.11
dblp,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.782662174504473,0.8124831843933965,0.8304569761789014,,0.12
dblp,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7669592009006919,0.6714124027116352,0.7192994043947643,,0.08
amazon,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7802754042793588,0.5569867831239808,0.6832391865560852,,0.09
amazon,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7915514441070546,0.5739643203024514,0.7212163567850796,,0.06
amazon,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.7125150060024009,0.4250577888441538,0.5240875819000819,,0.08
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3714915802528131,0.5719958489755897,0.6263063651124648,,1.61
pheme,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8570915188206584,0.0,0.29768009864315825,,8.7
fakeddit,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.29091205824468236,0.3587075654662235,0.16455383445785424,,4.62
fakeddit,0,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.28399931936023204,0.41885070683794223,0.17615942028985504,,4.75
fakeddit,1,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.3173147611930934,0.2801112387300819,0.07147435897435897,,4.75
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3644894987394739,0.5506819274100381,0.6149051371143522,,1.38
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.3750542886609213,0.5629668220506421,0.6376535301595447,,1.41
pheme,2,A,default,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.5, ""sd"": 1.0}",1.5,0.15,0.85,1.0,8,default,0.8543142336088391,0.023123759282070777,0.31632624981210006,,10.88
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8738967055254492,0.0,0.2464408860592352,,2.75
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7768790982065596,0.6114676822300876,0.6848228757873215,,0.09
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7781535956538578,0.5786553229924298,0.6046941979493299,,0.09
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7681888614571848,0.5971881961302058,0.6930217436992954,,0.12
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.7761570510557164,0.5721278990154091,0.6778504949734836,,0.08
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8012527363886731,0.5248015643483567,0.6981563782271367,,0.06
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.6917611750582586,0.34959940311824234,0.4457244585687382,,0.06
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8793817921854222,0.012546497684847724,0.2494193273775462,,4.09
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.37560883731751404,0.5986237964570016,0.6418653619807666,,1.66
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3602569181461499,0.5952436258934692,0.643925544460892,,1.61
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.2941918368190173,0.5453636117957134,0.5762411714217739,,4.8
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.2755947075958013,0.6029786029696688,0.6554248877850908,,5.28
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3737034575010519,0.6107714413297108,0.6508688194156357,,1.53
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.30681724775725205,0.6813457321358556,0.6898513287347451,,4.58
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.2, ""sd"": 1.0}",1.2,0.15,0.85,1.0,8,default,0.8584900455288305,0.0,0.24688605629337904,,6.78
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8755172557247393,0.012568242658416051,0.24406164370913722,,3.14
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7786573928442441,0.6201470528059725,0.6904631189189294,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7816441652553637,0.6320706386247106,0.7074278840163493,,0.11
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.76945982844064,0.6713058999250033,0.722780836755507,,0.08
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7776876633006143,0.5809531444992124,0.6843607258240728,,0.06
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.7951698326389379,0.5052184061681952,0.6843989273490703,,0.09
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.6945046253795636,0.3957195681691237,0.46162119769917304,,0.05
pheme,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8742463372024922,0.012861962632682689,0.24744118342268973,,3.3
pheme,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.8726653234122518,0.0,0.2385064995353861,,4.67
crisismmd,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3573458410168619,0.0,0.0,,1.44
crisismmd,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.3394724930687693,0.0,0.0,,1.48
fakeddit,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.3026153782479178,0.3877954980355549,0.4775209964999367,,4.59
fakeddit,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.276771210290888,0.6231876049203114,0.6586484981649241,,4.8
fakeddit,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.3, ""sd"": 1.0}",1.3,0.15,0.85,1.0,8,default,0.2919382002227973,0.40157271879966516,0.48635135726470236,,4.58
crisismmd,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.4626640860525637,0.0,0.0,,1.33
pheme,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.6570760878192159,0.0,0.036246612466124664,,4.75
dblp,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7788480378917624,0.7244561212777838,0.7399602836033007,,0.08
dblp,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7752487300038942,0.7570625552416503,0.7888455554912233,,0.08
dblp,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7669655557356092,0.6835270660076851,0.7257428979764406,,0.11
amazon,0,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7816008756443754,0.6046358914804084,0.6853882301979916,,0.03
amazon,1,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.8034383165030718,0.6673058372829244,0.8147477482661138,,0.06
amazon,2,A,m,"{""alpha"": [0.15, 0.85], ""anfis"": ""default"", ""cd"": 8, ""m"": 1.75, ""sd"": 1.0}",1.75,0.15,0.85,1.0,8,default,0.7050233034390226,0.5226865456261025,0.542702346743295,,0.11
